,count
fr_Ar_NH,10
fr_nitro_arom,10
TPSA,10
RingCount,10
NumHeteroatoms,10
NumHDonors,10
NumHAcceptors,10
MolLogP,9
fr_Ar_N,9
EState_VSA2,9
EState_VSA3,9
NumAromaticRings,9
fr_ArN,8
EState_VSA1,8
fr_benzene,8
fr_nitro,8
Chi0,7
MaxAbsEStateIndex,7
EState_VSA5,7
NumRotatableBonds,6
MinAbsEStateIndex,6
Chi2n,6
MaxEStateIndex,6
Chi3n,6
EState_VSA4,6
Chi1,6
Chi4n,5
MolWt,5
MinEStateIndex,5
fr_halogen,5
ExactMolWt,4
fr_aryl_methyl,4
fr_aniline,4
EState_VSA6,4
fr_N_O,4
MaxAbsPartialCharge,4
MinAbsPartialCharge,4
fr_nitro_arom_nonortho,4
fr_NH2,4
PEOE_VSA1,4
NHOHCount,4
NOCount,4
FractionCSP3,3
NumValenceElectrons,3
FpDensityMorgan2,3
BalabanJ,3
HeavyAtomCount,3
NumAromaticHeterocycles,3
EState_VSA7,3
qed,3
fr_phenol,3
FpDensityMorgan3,3
VSA_EState1,3
Chi3v,3
PEOE_VSA2,3
PEOE_VSA3,3
fr_Ar_OH,3
Chi2v,3
Chi0v,3
Chi4v,3
fr_nitroso,2
Chi1n,2
fr_diazo,2
fr_thiazole,2
FpDensityMorgan1,2
NumSaturatedRings,2
fr_Imine,2
fr_azide,2
Chi0n,2
MaxPartialCharge,2
MinPartialCharge,2
SMR_VSA1,2
fr_NH1,2
fr_Nhpyrrole,2
NumAromaticCarbocycles,2
EState_VSA8,2
NumAliphaticRings,2
VSA_EState2,2
BertzCT,2
Chi1v,2
NumRadicalElectrons,2
fr_sulfide,2
fr_azo,1
fr_sulfonamd,1
VSA_EState4,1
fr_COO,1
fr_pyridine,1
fr_oxazole,1
EState_VSA10,1
PEOE_VSA10,1
fr_phenol_noOrthoHbond,1
fr_thiophene,1
fr_phos_acid,1
fr_hdrzine,1
fr_alkyl_halide,1
fr_HOCCN,1
fr_ketone,1
fr_isocyan,1
EState_VSA9,1
fr_aldehyde,1
VSA_EState3,1
PEOE_VSA4,1
fr_C_O_noCOO,1
fr_NH0,1
SlogP_VSA1,1
