feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26,feat_27,feat_28,feat_29,feat_30,feat_31,feat_32,feat_33,feat_34,feat_35,feat_36,feat_37,feat_38,feat_39,feat_40
Chi0,Chi1,Chi2n,Chi3n,Chi4n,EState_VSA1,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,HeavyAtomCount,MaxAbsEStateIndex,MinAbsEStateIndex,MolLogP,MolWt,NHOHCount,NOCount,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumSaturatedRings,PEOE_VSA1,PEOE_VSA2,PEOE_VSA3,RingCount,TPSA,VSA_EState1,VSA_EState2,fr_ArN,fr_Ar_N,fr_Ar_NH,fr_NH2,fr_nitro,fr_nitro_arom
Chi0n,Chi0v,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,EState_VSA2,EState_VSA3,EState_VSA5,EState_VSA6,MaxAbsEStateIndex,MinAbsEStateIndex,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,RingCount,TPSA,fr_ArN,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_aryl_methyl,fr_benzene,fr_halogen,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_phenol,fr_phenol_noOrthoHbond,fr_sulfide,fr_sulfonamd,qed
Chi0,Chi1,Chi2n,Chi2v,Chi3n,EState_VSA1,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,MaxAbsEStateIndex,MaxAbsPartialCharge,MaxEStateIndex,MinAbsPartialCharge,MolLogP,NHOHCount,NOCount,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,PEOE_VSA1,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,RingCount,TPSA,fr_ArN,fr_Ar_N,fr_Ar_NH,fr_C_O_noCOO,fr_N_O,fr_aryl_methyl,fr_nitro,fr_nitro_arom
BalabanJ,BertzCT,Chi0,Chi0v,EState_VSA1,EState_VSA2,EState_VSA3,MaxEStateIndex,MinEStateIndex,MolLogP,MolWt,NumAliphaticRings,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRadicalElectrons,NumRotatableBonds,RingCount,TPSA,fr_ArN,fr_Ar_N,fr_Ar_NH,fr_COO,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Nhpyrrole,fr_aniline,fr_aryl_methyl,fr_benzene,fr_diazo,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_thiazole,qed
EState_VSA1,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,ExactMolWt,HeavyAtomCount,MaxAbsPartialCharge,MinAbsPartialCharge,MolLogP,NumAliphaticRings,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumValenceElectrons,RingCount,TPSA,VSA_EState1,VSA_EState2,VSA_EState3,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_Imine,fr_Nhpyrrole,fr_aldehyde,fr_aniline,fr_aryl_methyl,fr_azide,fr_benzene,fr_halogen,fr_isocyan,fr_ketone,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_phos_acid,fr_thiazole
Chi0,Chi1,Chi2n,Chi3n,Chi4n,EState_VSA1,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,MolLogP,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,RingCount,TPSA,fr_ArN,fr_Ar_NH,fr_HOCCN,fr_NH2,fr_N_O,fr_alkyl_halide,fr_aniline,fr_benzene,fr_halogen,fr_hdrzine,fr_nitro,fr_nitro_arom,fr_oxazole,fr_phenol,fr_thiophene
Chi0,Chi1,Chi2n,Chi3n,Chi4n,EState_VSA1,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,ExactMolWt,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,FractionCSP3,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,MolLogP,MolWt,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedRings,NumValenceElectrons,RingCount,TPSA,fr_ArN,fr_Ar_N,fr_Ar_NH,fr_benzene,fr_halogen,fr_nitro,fr_nitro_arom,fr_phenol,fr_sulfide,qed
BalabanJ,BertzCT,Chi0,Chi1,Chi2v,Chi3v,Chi4v,HeavyAtomCount,MaxAbsEStateIndex,MaxAbsPartialCharge,MaxEStateIndex,MaxPartialCharge,MinAbsEStateIndex,MinAbsPartialCharge,MinEStateIndex,MinPartialCharge,MolLogP,MolWt,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRadicalElectrons,NumValenceElectrons,RingCount,TPSA,VSA_EState4,fr_ArN,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_NH2,fr_aniline,fr_azo,fr_benzene,fr_diazo,fr_halogen,fr_nitro,fr_nitro_arom,fr_pyridine
BalabanJ,Chi0,Chi0n,Chi1,Chi1n,Chi2n,Chi3n,Chi4n,EState_VSA1,EState_VSA10,EState_VSA2,EState_VSA3,ExactMolWt,FractionCSP3,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,MolLogP,MolWt,NHOHCount,NOCount,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,PEOE_VSA1,PEOE_VSA10,RingCount,SMR_VSA1,TPSA,VSA_EState1,fr_ArN,fr_Ar_N,fr_Ar_NH,fr_NH1,fr_azide,fr_benzene,fr_nitro_arom
Chi0v,Chi1v,Chi3v,Chi4v,EState_VSA1,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,ExactMolWt,FpDensityMorgan2,FpDensityMorgan3,FractionCSP3,MaxAbsPartialCharge,MaxPartialCharge,MinAbsPartialCharge,MinPartialCharge,MolLogP,NHOHCount,NOCount,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,PEOE_VSA1,PEOE_VSA2,PEOE_VSA3,RingCount,SMR_VSA1,SlogP_VSA1,TPSA,fr_Ar_N,fr_Ar_NH,fr_N_O,fr_benzene,fr_nitro_arom,fr_nitro_arom_nonortho
