Drug_ID,Drug,Y,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,ExactMolWt,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,FractionCSP3,HallKierAlpha,HeavyAtomCount,HeavyAtomMolWt,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,MaxAbsEStateIndex,MaxAbsPartialCharge,MaxEStateIndex,MaxPartialCharge,MinAbsEStateIndex,MinAbsPartialCharge,MinEStateIndex,MinPartialCharge,MolLogP,MolMR,MolWt,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRadicalElectrons,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumValenceElectrons,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,RingCount,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,qed
Dimercaprol,OCC(S)CS,0,2.7541847860376616,27.974168451037094,4.99156383156272,3.3332046180625943,5.122059000062426,2.808060412490447,1.7071510027085632,2.8560043142365616,1.0189718779350343,2.1144169929453667,0.42149820593270626,1.4961936766075934,0.05773502691896257,0.1732050807568877,0.0,0.0,0.0,11.856819994495092,5.752853606746789,0.0,0.0,0.0,0.0,25.257578296025983,5.106527394840706,124.001656876,1.6666666666666667,2.1666666666666665,2.1666666666666665,1.0,0.6599999999999999,6.0,116.166,19.800269059780252,6.66,3.836678445229682,2.8745922746781116,48.57350233562222,8.20949074074074,0.3952028838590616,8.20949074074074,0.055493089778226735,0.04938271604938227,0.055493089778226735,0.04938271604938227,-0.3952028838590616,0.20690000000000003,33.7128,124.23,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,2.0,0.0,0.0,0.0,38.0,5.106527394840706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.257578296025983,0.0,0.0,0.0,11.002791636728963,6.606881964512918,0.0,5.106527394840706,25.257578296025983,0.0,0.0,0.0,5.249938029982174,12.359735571259707,0.0,0.0,0.0,0.0,0.0,0.0,25.257578296025983,22.716200996082588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.23,0.0,7.762731481481482,0.0,8.258873456790123,0.0,0.6385030864197531,0.0,0.0,0.11766975308641991,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4493996678556496
Edrophonium,CC[N+](C)(C)c1cccc(O)c1,0,3.026535165036495,268.2960188386611,9.190234444311992,7.910935048944968,7.910935048944968,5.559678737419713,4.186342538749178,4.186342538749178,3.5210764752471193,3.5210764752471193,2.319278869871456,2.319278869871456,1.0521236134697067,1.0521236134697067,0.0,5.106527394840706,0.0,0.0,5.749511833283905,16.71517353829076,0.0,6.06636706846161,18.19910120538483,21.019081165045005,0.0,166.12264055209,1.3333333333333333,2.0,2.5,0.4,-1.02,12.0,150.11599999999996,445.81666880812105,9.071074681238617,3.1515896434999315,1.7688978113117904,73.6552104860781,9.261910430839002,0.5077267008807378,9.261910430839002,0.13563019252731973,0.3399537037037039,0.13563019252731973,0.3399537037037039,-0.5077267008807378,1.9790000000000003,52.28980000000004,166.24399999999997,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,66.0,5.106527394840706,11.436898107967467,0.0,0.0,0.0,0.0,4.483030857694624,0.0,0.0,0.0,6.06636706846161,19.056471336613843,6.06636706846161,20.640100371266954,1.0,5.106527394840706,5.687386274683562,0.0,4.483030857694624,0.0,6.923737199690624,20.640100371266954,24.26546827384644,0.0,5.749511833283905,4.483030857694624,5.687386274683562,5.749511833283905,0.0,25.746627766107657,0.0,0.0,6.923737199690624,24.26546827384644,0.0,0.0,0.0,20.23,0.7999999999999999,0.0,0.0,9.261910430839002,1.1365740740740744,0.3399537037037039,7.408935185185185,0.0,3.146330309901739,4.239629629629629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6659702056085907
Vidarabine,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,0,2.035435145869755,602.6175788415977,13.568549621822843,9.787302124477499,9.787302124477499,9.1302289553358,5.6863751310965895,5.6863751310965895,4.311819367749401,4.311819367749401,3.178383097649782,3.178383097649782,2.1660908223461037,2.1660908223461037,31.146682298492692,10.213054789681411,0.0,5.817862777835028,11.16387793838399,0.0,17.22173979732044,0.0,0.0,14.951935562841626,15.57705782580294,267.096753896,1.263157894736842,2.0526315789473686,2.736842105263158,0.5,-1.8100000000000003,19.0,254.14099999999996,35227.092267622436,12.23544093091737,4.3842388535215,1.7476128588760207,106.84616010324278,9.950183767951625,0.39356685392664126,9.950183767951625,0.16713850593534102,0.21804944045519536,0.16713850593534102,-1.1891298185941046,-0.39356685392664126,-1.9800000000000006,62.744800000000026,267.245,5.0,9.0,0.0,1.0,1.0,0.0,2.0,2.0,9.0,4.0,9.0,0.0,2.0,0.0,1.0,1.0,102.0,25.790112615484354,30.155919955625706,17.692941169337626,0.0,0.0,0.0,4.567099647791355,14.951935562841626,0.0,0.0,0.0,0.0,0.0,12.934202039277459,3.0,20.056445138322168,16.981740716219015,0.0,19.519035210632982,0.0,24.539800333979777,12.340549441675103,12.654640149529083,0.0,0.0,5.733667477162185,5.817862777835028,0.0,0.0,59.757398522912915,4.736862953800049,0.0,6.22790117073487,12.654640149529083,0.0,11.16387793838399,0.0,139.54000000000002,6.854490740740741,0.0,11.892376700680273,28.737643350550098,6.444158005794912,0.21804944045519536,0.0,-1.422987449609475,-0.3903974552784075,0.0,0.0,3.0,3.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49051986767922323
Cefacetrile,CC(=O)OCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)CC#N)[C@H]2SC1,0,2.1635864302341754,652.5855224131112,17.145899891012466,12.06715141122195,12.883647992149676,10.862279762904677,6.561196501387932,7.609951291368589,4.8274523004889325,5.93244480607088,3.2555813179501043,4.595215023029769,2.2793707327122235,3.606644432826643,35.16868367672341,24.28467613112799,0.0,24.47759650724155,5.573104530069267,4.899909730850478,18.685622149081738,6.069221312792274,0.0,5.316788604006331,9.998754508538536,339.05250613600003,1.5217391304347827,2.217391304347826,2.782608695652174,0.46153846153846156,-2.54,23.0,326.225,92067.48692244131,16.824100965058644,6.700215832251896,3.2905715234687096,134.79654400386946,12.143998330813808,0.47655945077468476,12.143998330813808,0.35226095817634895,0.20245549899635407,0.35226095817634895,-1.298515342865542,-0.47655945077468476,-0.7982199999999984,76.54750000000003,339.32900000000006,2.0,9.0,0.0,2.0,2.0,0.0,0.0,0.0,7.0,2.0,10.0,0.0,5.0,0.0,1.0,1.0,122.0,15.160178952647087,30.14045654261146,0.0,5.907179729351506,5.907179729351506,11.938610575903699,19.28352128306594,4.794537184071822,5.261891554738487,11.761884949391115,0.0,0.0,18.24969533650668,6.069221312792274,2.0,29.021539084928037,35.51485498399782,5.261891554738487,10.216698334856808,0.0,24.760272464733333,12.359735571259707,11.270143843125101,0.0,6.069221312792274,5.316788604006331,0.0,0.0,11.761884949391115,57.5348563736743,23.915011690087333,11.33111286753076,13.344558822616634,11.270143843125101,0.0,0.0,0.0,136.79999999999998,4.810793804793624,1.2607801870748299,46.95700643714602,19.66058912699921,0.10637366675065163,-2.7398380814912198,0.817572257379291,-0.37450870928414237,1.0012313106317365,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49055928296471096
Ticarcillin,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](C(=O)O)c3ccsc3)C(=O)N2[C@H]1C(=O)O,0,1.7671216934608431,747.2125440256156,18.516143379015546,13.332582413610435,14.965575575465888,11.64757159264516,7.429688558110449,9.252150410947408,6.412338850406036,8.963257304125927,4.358347382116034,6.631343871179007,3.2273564845022293,5.538807778522389,51.875453005250314,29.3912035259687,0.0,0.0,5.563451491696996,0.0,27.998580558176332,30.67396700877469,0.0,5.316788604006331,0.0,384.04497823199995,1.32,2.0,2.52,0.4666666666666667,-2.07,25.0,368.30700000000013,330222.7582531646,17.743396644177704,6.025297123083352,2.7846049474565744,150.74182912495644,12.413533320735702,0.48039845298335093,12.413533320735702,0.3273993847027013,0.34856104864785475,0.3273993847027013,-1.4002000398925,-0.48039845298335093,0.5479999999999997,90.35430000000005,384.4350000000001,3.0,8.0,0.0,2.0,2.0,0.0,1.0,1.0,6.0,3.0,10.0,0.0,5.0,0.0,2.0,2.0,134.0,20.429753124538223,17.45755447126466,5.917906046161393,11.814359458703011,0.0,11.938610575903699,14.383611552215466,4.794537184071822,11.336785877934737,11.761884949391115,0.0,36.237418500471684,4.747022453217559,0.0,3.0,29.3912035259687,46.85164086193256,0.0,10.216698334856808,0.0,41.969957370024865,0.0,22.389944101090435,0.0,0.0,5.316788604006331,0.0,0.0,23.098670827325854,61.070511479620805,19.178148736287287,0.0,25.328831937239634,16.82649260939344,0.0,0.0,0.0,124.01,-0.7031795634920632,2.562334639166349,48.92110652906964,23.921134487222602,0.34856104864785475,-5.079346666716119,-0.3443112719911974,0.0,3.457034131426267,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5000831278778665
Cefoxitin,CO[C@@]1(NC(=O)Cc2cccs2)C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@@H]21,0,1.81030194245744,854.429156129188,20.474327015758657,14.668485204218596,16.301478366074047,13.296566727541911,8.011797012889343,9.940204614124895,5.947633477052819,8.048407898416126,4.2632391632438535,6.513238588236466,3.0352803960091506,5.158769497423441,34.97576322453227,24.284676131127995,0.0,30.05070103731082,0.0,9.777056924551777,30.208468368603384,6.06636706846161,11.446429838927525,10.05365155780638,10.470530430962235,427.050791884,1.4642857142857142,2.2142857142857144,2.7857142857142856,0.375,-2.57,28.0,410.3240000000002,1725921.0093533108,20.171661836598886,7.813366165730109,3.4527017359863312,167.18991561099926,12.831008991559585,0.47655943238277393,12.831008991559585,0.4043169046369086,0.07616258701215406,0.4043169046369086,-1.6569607819979852,-0.47655943238277393,0.09859999999999991,99.19490000000002,427.4600000000002,4.0,10.0,0.0,2.0,2.0,0.0,1.0,1.0,8.0,3.0,12.0,0.0,7.0,0.0,1.0,1.0,150.0,25.63070938360932,17.67779409053749,0.0,5.907179729351506,11.63216532332176,12.062545358890265,14.488984098994122,9.589074368143644,0.0,23.098670827325854,6.06636706846161,11.446429838927525,23.31290287179489,6.4208216229260096,3.0,33.758402038728086,46.975575644919125,0.0,10.216698334856808,5.733667477162185,17.519680029865,19.469533112537242,33.66008794421553,0.0,0.0,11.050456081168516,4.794537184071822,0.0,23.098670827325854,64.45173346276069,30.27815908274157,0.0,4.877147193701299,28.782940750514236,0.0,0.0,0.0,148.26000000000002,10.018199773646966,2.601179230742514,49.61306388015959,13.22576714808098,3.203017009974999,-2.3114996753854067,3.6076103705528446,-0.9734883661444427,-0.3420775915202323,1.2748948865588474,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4097813290259421
Ceftazidime,CC(C)(O/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)[O-])=C(C[n+]3ccccc3)CS[C@H]12)c1csc(N)n1)C(=O)O,0,1.55104493151272,1323.7814590181501,26.905048436076797,19.612420286290423,21.245413448145875,17.490908185545685,10.832462065835081,12.760869667070633,8.566011456717378,10.560684929320928,5.537756986200321,7.551281318758874,3.5626912254040084,5.445682509519959,40.7697344877071,29.3912035259687,0.0,28.778967196426905,11.325958136816055,16.236695608785215,30.98942211923828,29.093520927940727,6.06636706846161,15.456479851704078,10.571256060898818,546.0991390440001,1.3513513513513513,2.054054054054054,2.6486486486486487,0.3181818181818182,-3.9799999999999995,37.0,524.4110000000003,130887863.90568937,26.093498250863785,10.178030370239119,5.26677228913719,218.15621100237203,13.114328090055071,0.5431907303710362,13.114328090055071,0.3498251589388191,0.02648847278124289,0.3498251589388191,-1.7532185463189922,-0.5431907303710362,-1.2991999999999946,129.5559,546.5870000000002,4.0,13.0,0.0,2.0,2.0,0.0,2.0,2.0,11.0,3.0,15.0,0.0,9.0,0.0,1.0,1.0,194.0,30.89563663865838,17.10964163696516,29.78168703174876,5.601050810983688,11.814359458703011,5.969305287951849,14.488984098994122,14.345615352810384,0.0,23.098670827325854,11.22207979521215,13.847474399381248,28.838755044205193,11.666344601007683,4.0,38.79589175749669,57.6948843445426,0.0,15.200676855804016,5.15571272675054,37.408995258394214,11.486521083908974,52.93692295705045,0.0,0.0,20.72408312380058,5.131558479839333,0.0,23.098670827325854,67.22468874386298,30.560493725936496,0.0,19.54140239422971,52.39870768895254,0.0,0.0,0.0,191.22,1.7813433512507009,2.3200451049992044,59.634861678251504,28.365058705864,3.830931505999705,-4.0068662117945095,4.364278804086379,3.550427347358645,2.7432530473176975,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,2.0,4.0,3.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.14740150966845048
Arbekacin,NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)CC[C@H]2N)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O,0,1.8206309990650098,755.4115654206576,28.14553541208296,21.19671201272783,21.19671201272783,18.013676768295653,12.940350436765941,12.940350436765941,10.187198970592902,10.187198970592902,7.369152519413541,7.369152519413541,5.022780619506351,5.022780619506351,91.9892431833648,30.327174158275348,0.0,32.03512244542547,12.841643245852019,0.0,0.0,0.0,0.0,5.316788604006331,47.615789201011125,552.3118916079999,0.9473684210526315,1.631578947368421,2.263157894736842,0.9545454545454546,-1.0900000000000005,38.0,508.27400000000034,157711855.4808746,31.43781788707586,14.000260553337739,7.153619464792361,220.22172941729355,12.579563242562745,0.3935672815103641,12.579563242562745,0.2486996634216957,0.0009827757753444466,0.2486996634216957,-1.54670114227203,-0.3935672815103641,-6.3994000000000035,130.61470000000003,552.6260000000003,16.0,16.0,1.0,2.0,3.0,0.0,0.0,0.0,15.0,11.0,16.0,0.0,10.0,1.0,2.0,3.0,222.0,78.46521477922099,42.72776471423811,12.580053458670426,5.907179729351506,0.0,0.0,4.794537184071822,0.0,0.0,0.0,0.0,32.22804289761662,12.586597235060536,30.836370839705104,3.0,49.274625973475544,5.907179729351506,0.0,5.316788604006331,28.668337385810926,111.26243436895271,19.696394776338067,0.0,0.0,0.0,33.985125989817256,0.0,0.0,0.0,136.71535935714178,23.741988999272017,0.0,25.683286491704038,0.0,0.0,0.0,0.0,297.27,23.276094284274922,0.0,12.579563242562745,54.35317769489701,29.553528441848666,-0.7623042829518301,-3.5396517767843676,-10.830786168157099,-0.29628810235672165,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12000793324313748
Ceftriaxone,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nc(=O)c(=O)[nH]n3C)CS[C@H]12)c1csc(N)n1,0,1.5118461639350005,1428.1226692899504,26.145535412082953,18.581130826306115,21.030620569089294,17.116299958328167,9.95506739854914,12.869073559438181,7.299854410816908,10.237026524280191,5.021740125082672,8.151410998885245,3.437512515899289,6.389352629944476,40.31791217887558,29.079213315199816,0.0,38.89635448582862,5.573104530069267,27.99858055817633,35.98122017895694,0.0,0.0,25.539140180952323,10.571256060898818,554.046057916,1.3888888888888888,2.138888888888889,2.7777777777777777,0.3333333333333333,-3.64,36.0,536.4480000000002,86964842.00764643,25.452831842099872,10.15191438763377,4.7329847758068055,213.32447467708963,12.914860471468966,0.4765606782787246,12.914860471468966,0.3521585021831157,0.10156280335389378,0.3521585021831157,-1.3084017524849958,-0.4765606782787246,-1.6112999999999973,130.57960000000003,554.592,5.0,15.0,0.0,2.0,2.0,0.0,2.0,2.0,14.0,4.0,18.0,0.0,8.0,0.0,1.0,1.0,190.0,20.994572059745856,29.91647849129853,15.999679964430742,0.0,11.814359458703011,17.087839078055865,33.85854321058399,9.77851570501903,4.9839785209472085,23.098670827325854,16.917597676141654,5.573104530069267,23.933441966636682,0.0,4.0,24.327727530792806,63.48746400598187,0.0,29.965140120197447,12.20338470942773,16.572150123937405,24.3491722319333,43.05174276668713,0.0,0.0,22.16898987127253,5.131558479839333,0.0,34.860555776716964,83.28144705734519,26.26887211862929,0.0,5.693927994848461,36.5514301903059,0.0,0.0,0.0,214.95999999999998,1.2536059923735094,3.40994444835032,74.2511416575047,19.641880999689953,3.998125971650352,-2.2979686246200988,-0.9946495025670707,0.0,0.0,2.7379190576183317,1.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,5.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.09529800454941457
Epirubicin,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@@H](O)[C@H](C)O1,0,1.6862632099701684,1376.5187409654486,28.386022388089113,21.210137267735792,21.210137267735792,18.427777117237813,12.411801735393011,12.411801735393011,10.159933060518698,10.159933060518698,7.805280422640822,7.805280422640822,5.750258572698188,5.750258572698188,95.6690042321333,39.91624852641899,0.0,34.4241394229979,0.0,0.0,25.30889874666236,6.923737199690624,0.0,0.0,19.944256338562333,543.1740607479999,1.1538461538461537,1.8461538461538463,2.4871794871794872,0.4444444444444444,-3.39,39.0,514.2930000000003,374870204.0707537,27.187262938747462,9.662462759118538,4.111772825118512,222.08139702756714,13.643057057489099,0.5068479547044316,13.643057057489099,0.20163128145012926,0.0172524144593047,0.20163128145012926,-2.2407371425638924,-0.5068479547044316,0.0012999999999993017,131.75439999999995,543.5250000000003,7.0,12.0,2.0,1.0,3.0,2.0,0.0,2.0,12.0,6.0,12.0,0.0,5.0,0.0,1.0,1.0,208.0,45.47689331276586,29.456468275348325,17.85651662206509,5.783244946364939,0.0,0.0,14.383611552215466,0.0,0.0,0.0,12.13273413692322,12.990104268152233,41.994660173016975,42.112051179613424,5.0,54.12683738781914,17.34973483909482,0.0,0.0,5.733667477162185,62.43101960118041,13.716679505790452,51.579810155566804,0.0,17.248535499851716,10.470530430962235,0.0,17.248535499851716,0.0,86.73990246405225,20.68908471459793,0.0,68.83913015161656,18.19910120538483,0.0,0.0,0.0,206.07,16.992219914907572,0.0,39.73908207424436,53.69213165007618,2.373741684889566,-3.774704747880252,3.63515611968848,-5.122799847545572,0.5596546492817411,1.3221851690045994,0.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23526258168565614
