Drug_ID,Drug,Y,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,ExactMolWt,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,FractionCSP3,HallKierAlpha,HeavyAtomCount,HeavyAtomMolWt,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,MaxAbsEStateIndex,MaxAbsPartialCharge,MaxEStateIndex,MaxPartialCharge,MinAbsEStateIndex,MinAbsPartialCharge,MinEStateIndex,MinPartialCharge,MolLogP,MolMR,MolWt,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRadicalElectrons,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumValenceElectrons,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,RingCount,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,qed
(-)-epicatechin,Oc1cc(O)c2c(c1)OC(c1ccc(O)c(O)c1)C(O)C2,-6.2199998,1.9978810165902074,696.8034648427933,15.14589989101247,10.892874933477584,10.892874933477584,9.952397498181151,6.368997045451645,6.368997045451645,4.999660465994339,4.999660465994339,3.5148683979151265,3.5148683979151265,2.4659579388339514,2.4659579388339514,12.207932775496605,25.532636974203527,0.0,35.168380789345534,11.126902983393991,0.0,30.33183534230805,0.0,0.0,0.0,4.736862953800049,290.079038168,0.9047619047619048,1.6666666666666667,2.380952380952381,0.2,-2.6,21.0,276.159,57289.59026476565,13.38615916955017,4.746545498803195,2.2954031683873257,119.66220650570855,10.180342970521542,0.5076790312956448,10.180342970521542,0.1573046177140986,0.14254319937851645,0.1573046177140986,-0.9334391534391535,-0.5076790312956448,1.5460999999999998,72.62300000000002,290.271,5.0,6.0,0.0,1.0,1.0,2.0,0.0,2.0,6.0,5.0,6.0,0.0,1.0,0.0,0.0,0.0,110.0,30.269499928003576,23.35250188760002,11.49902366656781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.06636706846161,17.696185628620217,24.117007251546227,6.103966387748303,3.0,30.269499928003576,0.0,0.0,0.0,0.0,18.628754398422615,0.0,41.45873832570204,0.0,28.747559166419524,4.736862953800049,0.0,28.747559166419524,0.0,31.636603361951828,6.4208216229260096,0.0,17.230869371142294,30.33183534230805,0.0,0.0,0.0,110.38000000000001,5.624025888133032,0.0,0.0,48.29762026725546,0.8942897560258676,-0.5889327706391183,6.666153274568677,-1.5598230820105827,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5095927314649248
"(2E,4Z,8Z)-N-isobutyldodeca-2,4,10-triene-8 -ynamide",C/C=C\C#CCC/C=C\C=C\C(=O)NCC(C)C,-3.8599999,3.686925839570719,364.2935365760136,13.639981912617825,11.571020518350888,11.571020518350888,8.663902460147016,6.3704619174380435,6.3704619174380435,4.28605696446784,4.28605696446784,1.9674011604658506,1.9674011604658506,1.0513159942100283,1.0513159942100283,0.0,4.794537184071822,0.0,5.907179729351506,12.462662452073968,12.841643245852019,0.0,12.152040213667762,31.227817627026145,31.005131641098867,0.0,245.177964356,1.3333333333333333,2.111111111111111,2.7777777777777777,0.4375,-1.7499999999999996,18.0,222.18199999999996,7525.108401910638,16.25,11.72715976331361,12.320175438596491,110.85518332273698,11.29284051082534,0.3522971066485939,11.29284051082534,0.2434865561791223,0.04053272993974644,0.2434865561791223,-0.04053272993974644,-0.3522971066485939,3.2307000000000015,77.95170000000003,245.36599999999999,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,6.0,0.0,0.0,0.0,98.0,5.316788604006331,0.0,0.0,5.907179729351506,0.0,0.0,4.794537184071822,0.0,0.0,0.0,49.99242346442806,25.338484975611905,19.041598135672466,0.0,0.0,4.794537184071822,5.907179729351506,0.0,5.316788604006331,5.917906046161393,33.61285484492389,6.544756405912575,36.45612064100329,0.0,11.840868637711289,5.316788604006331,0.0,0.0,0.0,12.45193613526408,4.794537184071822,17.75877468387268,33.61285484492389,36.45612064100329,0.0,0.0,0.0,29.1,0.0,0.0,11.29284051082534,2.817753604181551,0.0,6.391891488232612,0.0,12.697453033622212,6.800061363138285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3308729651238444
codeine,COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@]314,-4.0900002,1.8223654238415257,685.154996148535,15.060113453385565,12.951046269004294,12.951046269004294,10.663869018582144,8.102093592364023,8.102093592364023,7.113244797870749,7.113244797870749,6.354309691044521,6.354309691044521,5.388740830926851,5.388740830926851,6.103966387748303,5.106527394840706,0.0,11.518956857145081,11.959746875309353,30.885423318332407,11.126902983393991,7.109797541277533,12.142387175295491,24.08996888882316,9.473725907600098,299.152143532,1.3636363636363635,2.227272727272727,3.0454545454545454,0.5555555555555556,-1.52,22.0,278.202,226722.00040724524,12.968359178093896,4.059867674858224,1.2776232367596778,129.87893872736822,10.55421343537415,0.4928574808156397,10.55421343537415,0.16548052094753993,0.08055555555555549,0.16548052094753993,-0.5385534769463345,-0.4928574808156397,1.5010999999999999,82.46380000000003,299.3700000000001,1.0,4.0,2.0,2.0,4.0,1.0,0.0,1.0,4.0,1.0,4.0,0.0,1.0,0.0,1.0,1.0,116.0,19.480163033291284,12.207932775496605,11.49902366656781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.218407282129373,38.06389019460039,22.938188836403132,7.109797541277533,5.0,14.580253302440804,0.0,0.0,4.899909730850478,5.917906046161393,36.50640731989336,20.7022259298673,35.411677333984976,0.0,11.49902366656781,9.473725907600098,0.0,11.49902366656781,0.0,48.95843666020304,11.83581209232279,5.917906046161393,17.547724606320003,24.284774350590983,0.0,0.0,0.0,41.93,11.834056358654573,0.0,2.4724038643235073,10.55421343537415,2.6029629629629634,2.0899187452758885,4.700383125472411,5.535754913076341,1.053250425170068,3.9070561696900983,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7981444096668123
danazol,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=Cc5oncc5C[C@]4(C)[C@H]3CC[C@@]21C,-4.8400002,1.5319846700877746,801.194381990157,17.449382989376332,15.21652456490737,15.21652456490737,11.91158036151885,9.759733317157632,9.759733317157632,9.394049305057951,9.394049305057951,8.665479099986475,8.665479099986475,7.13647503854675,7.13647503854675,5.601050810983688,5.106527394840706,0.0,10.82998093879356,17.75371813848418,44.28517715643051,11.984273114623004,5.573104530069267,6.196843571613076,31.000592082196217,10.946444832593606,337.20417910400005,1.24,2.04,2.84,0.6818181818181818,-1.5299999999999998,25.0,310.24700000000007,860454.8147546195,15.703697309398914,4.796470926146428,1.7927603361670434,149.4111683415793,11.075594510391138,0.3770338698968007,11.075594510391138,0.16230970436950706,0.11357418430335087,0.16230970436950706,-0.9088588382884017,-0.3770338698968007,4.221000000000004,96.35280000000006,337.46300000000014,1.0,3.0,4.0,0.0,4.0,0.0,1.0,1.0,3.0,1.0,3.0,0.0,0.0,3.0,0.0,3.0,132.0,9.629622331814055,5.601050810983688,5.760247418874442,0.0,0.0,0.0,0.0,0.0,0.0,6.423349895620259,30.497676505431606,74.1904800751969,10.978441961093775,6.196843571613076,5.0,9.629622331814055,6.076020106833881,0.0,5.156663257125445,28.58369907727774,64.394276570847,0.0,23.093647012253783,0.0,12.343784214475903,0.0,0.0,0.0,0.0,15.864241462949838,6.4208216229260096,40.92748329175364,63.69610304750874,16.293043038655693,0.0,6.076020106833881,0.0,46.260000000000005,5.43159951074859,0.0,0.0,15.091949997987156,1.9898099857226852,5.63748482178429,0.0,17.386856012345504,4.712299671411775,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7210430866196731
dexamethasone b D glucuronide,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO[C@H]1O[C@@H](C(=O)O)[C@H](O)[C@@H](O)[C@@H]1O,-6.119999900000002,1.4021370624752443,1170.8979888848903,29.576621311330612,22.566224634536535,22.566224634536535,18.534289497028407,13.646225556648593,13.646225556648593,12.637130248766063,12.637130248766063,10.839324390612903,10.839324390612903,8.598104422342608,8.598104422342608,95.02280057391353,45.022775921259694,4.39041504767482,18.624888192216957,18.414747775921285,0.0,18.228060320501644,20.771211599071872,0.0,0.0,9.473725907600098,568.2319902239999,1.125,1.8,2.45,0.75,-2.0600000000000005,40.0,531.2950000000004,435417072.20485103,29.432981435204226,9.481360691170458,3.6969972897365118,229.82692095977063,17.269629734939734,0.4792427209618976,17.269629734939734,0.33529112375239467,0.23343487087977088,0.33529112375239467,-2.1330922943451216,-0.4792427209618976,-0.18779999999999786,133.12780000000004,568.5910000000005,6.0,11.0,4.0,1.0,5.0,0.0,0.0,0.0,10.0,6.0,12.0,0.0,5.0,3.0,1.0,4.0,222.0,40.11289027664433,30.51983193874151,29.62924282855907,0.0,0.0,5.969305287951849,9.589074368143644,9.184952231746642,0.0,0.0,25.496599036284397,56.594875997385216,16.747886984954953,6.103966387748303,5.0,58.886916876534606,17.535795180681728,0.0,0.0,28.583699077277743,94.53416738858199,6.606881964512918,23.80116485057091,0.0,0.0,0.0,4.39041504767482,0.0,0.0,102.86151081204498,23.85733745981556,28.583699077277743,46.454498090775914,23.80116485057091,0.0,0.0,0.0,191.04999999999995,27.701662628990523,0.0,37.045540280108824,62.816677525561985,-6.067612796028687,-4.556187658484227,0.0,-5.92944787380559,4.15603456032383,0.0,1.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25771352453056773
DMXAA-G,Cc1ccc2c(=O)c3cccc(CC(=O)OC4OC(C(=O)O)[C@@H](O)[C@@H](O)[C@@H]4O)c3oc2c1C,-6.52,1.649588092932652,1310.0714911026957,24.02421506852332,17.71895359786582,17.71895359786582,15.595131908272998,10.163870907063545,10.163870907063545,8.010877960898256,8.010877960898256,5.862049333690152,5.862049333690152,3.8470418231846177,3.8470418231846177,42.644502856232116,29.703193736737582,0.0,22.818856370933588,16.532695847804035,11.126902983393991,0.0,24.26546827384644,19.913841467842857,0.0,18.997404239494152,458.12129690399985,0.9696969696969697,1.6666666666666667,2.3636363636363638,0.34782608695652173,-3.31,33.0,436.2430000000003,19208418.409159813,22.868698716990757,8.561145483703859,3.9765874270236505,186.13173076534238,12.979848951215953,0.4792421912432151,12.979848951215953,0.33533541111675236,0.19873189090451016,0.33533541111675236,-1.90298927287085,-0.4792421912432151,0.5409399999999992,113.57720000000003,458.41900000000015,4.0,10.0,0.0,1.0,1.0,2.0,1.0,3.0,9.0,4.0,10.0,0.0,4.0,0.0,1.0,1.0,174.0,34.31698642401627,29.477939446529398,6.103966387748303,11.718817121235753,0.0,11.938610575903699,9.589074368143644,4.794537184071822,0.0,0.0,18.19910120538483,37.10711151969846,5.563451491696996,17.1932700518556,4.0,43.906060792159906,33.877099288117776,0.0,0.0,0.0,50.97418830263568,0.0,57.2455173933714,0.0,0.0,5.428790391900541,0.0,0.0,0.0,63.07061243559493,25.48362189866975,13.847474399381248,16.690354475090988,39.543523463433225,0.0,21.938488712214074,0.0,163.73000000000002,16.041275505432253,0.0,36.77538817476179,39.453635130401906,2.3975936499380084,-2.522354041076151,8.242621939951347,-9.760370170053614,3.7055431439777995,0.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3203901563261364
d-praeruptorin,C/C=C(\C)C(=O)O[C@H]1[C@@H](OC(C)=O)c2c(ccc3ccc(=O)oc23)OC1(C)C,-4.579999900000002,2.2169858595928407,1028.7161161225788,20.637463722575188,16.399189917574425,16.399189917574425,13.13506613788912,8.906598039231733,8.906598039231733,7.183298266627818,7.183298266627818,4.687776877003045,4.687776877003045,3.181069087206741,3.181069087206741,35.37318048146198,14.383611552215466,0.0,5.583020141642242,22.272292069514965,0.0,12.990104268152233,51.9700701109812,0.0,0.0,18.627739798453494,386.1365530439999,1.1071428571428572,1.7857142857142858,2.4285714285714284,0.38095238095238093,-3.09,28.0,364.22400000000016,1240996.668774843,19.665522247451868,7.144871670845272,3.518283728598876,161.42695765093896,12.431120375619384,0.4832347013547845,12.431120375619384,0.3357046797336387,0.23199493995128928,0.3357046797336387,-1.000827664399093,-0.4832347013547845,3.446200000000002,101.00900000000006,386.40000000000015,0.0,7.0,0.0,1.0,1.0,1.0,1.0,2.0,7.0,0.0,7.0,0.0,3.0,0.0,0.0,0.0,148.0,18.627739798453494,16.933582785909834,12.207932775496605,0.0,0.0,17.564196894981684,4.794537184071822,9.589074368143644,0.0,0.0,6.076020106833881,45.89405000414732,23.949433012686296,5.563451491696996,3.0,28.216814166597135,22.907854932010736,0.0,0.0,0.0,52.42766958493341,0.0,51.898167905596395,0.0,5.749511833283905,10.362449272878036,0.0,5.749511833283905,0.0,23.64362777463569,19.06280027574374,0.0,46.28610387789841,45.12628103187476,0.0,10.969244356107037,0.0,92.04,22.669263510959937,0.0,36.085934092804806,0.6328882170152015,-0.5472536451576855,-0.7154105778113702,6.367629007621568,-0.3297097647088625,8.086659159276405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4531240270506624
EF5154,O=C(O)COc1ccc(C(=O)CN2CCN(C3CCNCC3)CC2=O)cc1,-6.119999900000002,1.502479747050492,685.090467229664,19.225403871315223,15.225346324982388,15.225346324982388,13.024877143252587,9.231126003777025,9.231126003777025,6.896910821400111,6.896910821400111,5.04633052351233,5.04633052351233,3.524150915537722,3.524150915537722,12.576187252464766,14.383611552215466,0.0,18.23518108162902,30.444316965954012,32.47591246358975,0.0,29.16537800469692,0.0,10.216698334856808,9.843390348640755,375.17942089999997,1.1481481481481481,1.8518518518518519,2.4814814814814814,0.5263157894736842,-2.4499999999999997,27.0,350.22500000000014,1367679.9484293628,19.31542500558588,8.964152604699821,5.271190330163956,157.6258631054434,12.46835880167545,0.4819184491417267,12.46835880167545,0.3412221183494577,0.005051545309481487,0.3412221183494577,-1.0580580233844719,-0.4819184491417267,0.228900000000001,97.94800000000005,375.4250000000001,2.0,8.0,0.0,2.0,2.0,1.0,0.0,1.0,6.0,2.0,8.0,0.0,7.0,0.0,2.0,2.0,146.0,20.060088683497565,5.749511833283905,12.390126910877857,5.907179729351506,0.0,5.969305287951849,14.48898409899412,4.794537184071822,0.0,0.0,0.0,50.19662433152361,24.69480513267011,13.08951281182515,3.0,24.22700190085622,17.659729963668294,0.0,15.116608065707286,0.0,18.88348407499998,45.875420399988364,29.828919765543436,0.0,5.749511833283905,10.05365155780638,0.0,5.749511833283905,0.0,84.4833380493463,9.589074368143644,0.0,23.19963192162084,24.26546827384644,0.0,0.0,0.0,99.18,5.053244224886506,0.0,39.282026927057885,11.934239224449218,0.4780180455000085,-0.8093471560381071,6.760519858651728,2.1160884435573637,3.3518770986020674,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.658299703476181
EF5170,CCCCOC(=O)COc1ccc(C(=O)CN2CCN(C3CCNCC3)CC2=O)cc1,-5.79,1.4275864406491927,746.083767705165,22.053830996061407,18.307701363505934,18.307701363505934,15.062881945713373,11.207425267040335,11.207425267040335,8.077195849227513,8.077195849227513,5.8016470343959075,5.8016470343959075,3.893347304796912,3.893347304796912,5.969305287951849,14.383611552215466,0.0,24.842063046141938,37.05119893046693,45.31755570944176,0.0,29.16537800469692,6.923737199690624,10.216698334856808,9.473725907600098,431.242021156,1.1290322580645162,1.8709677419354838,2.5483870967741935,0.6086956521739131,-2.4499999999999997,31.0,398.2690000000002,10205490.188155642,23.218111357250194,11.81051775752941,7.038191711157486,183.4049430403407,12.635062374354296,0.4819122776122695,12.635062374354296,0.34365577349709875,0.013584756638977069,0.34365577349709875,-0.40671543079187944,-0.4819122776122695,1.4876000000000007,116.17920000000005,431.53300000000024,1.0,8.0,0.0,2.0,2.0,1.0,0.0,1.0,7.0,1.0,8.0,0.0,10.0,0.0,2.0,2.0,170.0,19.690424242456906,5.749511833283905,12.390126910877857,5.907179729351506,0.0,5.969305287951849,14.48898409899412,4.794537184071822,0.0,0.0,13.344558822616634,56.61744595444962,24.69480513267011,19.696394776338067,3.0,23.85733745981556,17.659729963668294,0.0,15.116608065707286,0.0,38.64886452054263,52.48230236450128,29.828919765543436,0.0,5.749511833283905,10.05365155780638,0.0,5.749511833283905,0.0,85.98369261901851,14.325937321943691,0.0,42.96501236716348,24.26546827384644,0.0,0.0,0.0,88.18,10.454173816037386,0.0,40.699464385629724,3.34703941526869,0.519867420988904,0.00024496449149613575,7.095321327972335,3.9260801206408393,6.124475215637291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.341097910611735
EF5232,CCCCC(C)OC(=O)COc1ccc(C(=O)CN2CCN(C3CCNCC3)CC2=O)cc1,-5.29,1.4149343025343886,791.7370519477283,23.63118126525103,19.885051632695557,19.885051632695557,15.956728795830724,12.140050952494526,12.140050952494526,8.945877619016791,8.945877619016791,6.337540486089085,6.337540486089085,4.3302588283734975,4.3302588283734975,5.969305287951849,14.383611552215466,0.0,30.94602943389024,30.444316965954012,51.738377332367776,0.0,29.16537800469692,6.923737199690624,17.140435534547432,9.473725907600098,459.273321284,1.1515151515151516,1.878787878787879,2.5454545454545454,0.64,-2.4499999999999997,33.0,422.2910000000002,23941425.180721443,25.17817218458664,12.699697946723155,7.821350370213447,196.1348272691339,12.695935249675223,0.4819120568411148,12.695935249675223,0.34392181157151547,0.013669992123268138,0.34392181157151547,-0.40194407780624064,-0.4819120568411148,2.2662000000000004,125.39120000000007,459.5870000000003,1.0,8.0,0.0,2.0,2.0,1.0,0.0,1.0,7.0,1.0,8.0,0.0,11.0,0.0,2.0,2.0,182.0,19.690424242456906,5.749511833283905,12.390126910877857,5.907179729351506,0.0,5.969305287951849,14.48898409899412,4.794537184071822,0.0,0.0,19.765380445542643,63.54118315414024,24.69480513267011,19.193479199573453,3.0,23.85733745981556,17.659729963668294,0.0,15.116608065707286,0.0,58.097389730907565,45.875420399988364,29.828919765543436,0.0,5.749511833283905,10.05365155780638,0.0,5.749511833283905,0.0,85.48077704225389,14.325937321943691,0.0,56.309571189780115,24.26546827384644,0.0,0.0,0.0,88.18,10.798838167889237,0.0,41.104981354426826,3.3507293332211328,0.5200915364587462,0.0059377130150353175,7.123659456680296,4.933127997770016,7.662634440538711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4011398068980139
