Drug_ID,Drug,Y,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,ExactMolWt,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,FractionCSP3,HallKierAlpha,HeavyAtomCount,HeavyAtomMolWt,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,MaxAbsEStateIndex,MaxAbsPartialCharge,MaxEStateIndex,MaxPartialCharge,MinAbsEStateIndex,MinAbsPartialCharge,MinEStateIndex,MinPartialCharge,MolLogP,MolMR,MolWt,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRadicalElectrons,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumValenceElectrons,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,RingCount,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,qed
abacavir,Nc1nc(NC2CC2)c2ncn([C@H]3C=C[C@@H](CO)C3)c2n1,0,1.7339568373952159,704.7972989715104,14.396976746569035,11.605946986573365,11.605946986573365,10.241514740667453,7.301056943267136,7.301056943267136,5.803680855058162,5.803680855058162,4.098384016973035,4.098384016973035,2.7921243136477862,2.7921243136477862,0.0,5.106527394840706,0.0,24.514968120808767,6.041840829147961,36.24420558499705,0.0,6.3273200747645415,10.643119754625236,26.344744273681837,5.733667477162185,286.154209196,1.3333333333333333,2.1904761904761907,2.9047619047619047,0.5,-2.1500000000000004,21.0,268.19499999999994,128289.44304880172,12.580123737360514,4.696423830473371,2.2293171590176106,121.45834382482487,9.257136034727123,0.39576253916630044,9.257136034727123,0.2236130771664433,0.16224537037037035,0.2236130771664433,0.16224537037037035,-0.39576253916630044,1.0922999999999998,79.74990000000001,286.33900000000006,4.0,7.0,2.0,0.0,2.0,0.0,2.0,2.0,7.0,3.0,7.0,0.0,4.0,1.0,0.0,1.0,110.0,20.724083123800575,0.0,16.98174071621902,5.948339280986494,0.0,0.0,0.0,4.9839785209472085,9.967957041894417,0.0,12.152040213667762,19.26246486877803,18.566628839822272,12.369160903912501,4.0,5.106527394840706,22.930079997205514,0.0,19.51903521063298,5.917906046161393,31.34614652707395,17.657338045681435,18.479360288432304,0.0,0.0,11.050456081168516,11.766202058821523,0.0,0.0,37.27428539913457,0.0,5.917906046161393,25.30430569792599,18.479360288432304,0.0,11.16387793838399,0.0,101.88,2.0115192743764174,0.0,13.083932350718065,12.615718958637428,7.3497308830939785,1.183530617493911,0.646315480138081,9.104055755018056,0.17186334719072827,0.0,0.0,1.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7272302824304794
abecarnil,COCc1c(C(=O)OC(C)C)ncc2[nH]c3ccc(OCc4ccccc4)cc3c12,0,1.7729339990147606,1182.2338352912943,21.087211190881018,17.267923011624767,17.267923011624767,14.562881945713373,9.864678871638095,9.864678871638095,7.367774104451979,7.367774104451979,4.782510218046804,4.782510218046804,3.5005838759365164,3.5005838759365164,5.969305287951849,4.794537184071822,0.0,18.40477634710968,12.170333456209914,33.11881318914301,0.0,13.30664111289061,62.37841094707412,9.967957041894417,14.210588861400147,404.173607248,1.0666666666666667,1.8666666666666667,2.6,0.25,-3.379999999999999,30.0,380.2740000000002,8601177.649662428,19.915728336557457,8.549256196818389,3.997203020780115,174.3373873803328,12.603528557512282,0.48889160592136144,12.603528557512282,0.35707809365011595,0.2302315417274421,0.35707809365011595,-0.45390537712150114,-0.48889160592136144,5.006700000000005,115.63820000000004,404.4660000000002,1.0,6.0,0.0,0.0,0.0,2.0,2.0,4.0,5.0,1.0,6.0,0.0,7.0,0.0,0.0,0.0,154.0,19.194567382347355,12.356393797796823,5.693927994848461,0.0,0.0,5.969305287951849,0.0,9.77851570501903,0.0,0.0,30.33183534230805,37.61002709646307,28.962398179520385,24.424392641490556,4.0,19.005126045471968,27.775155152113967,0.0,9.967957041894417,0.0,33.16520471615539,7.109797541277533,71.54861109754842,0.0,5.749511833283905,4.736862953800049,0.0,5.749511833283905,0.0,29.1510262588721,22.687489836625936,0.0,35.462842561695524,54.727780119305955,0.0,21.805849864162116,0.0,73.44000000000001,16.76921249696256,0.0,20.317601756512534,1.8391906021667928,3.8380801343030093,0.29492711112070946,15.892885036838097,1.4323802360083435,4.35219352321632,1.5968624362049686,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43858891284757984
acebutolol,CCCC(=O)Nc1ccc(OC[C@@H](O)CNC(C)C)c(C(C)=O)c1,0,2.7300914999194297,557.949784082855,18.11251969619286,14.887136937585868,14.887136937585868,11.328606258093465,8.321366148025241,8.321366148025241,6.093077728728182,6.093077728728182,3.3126242824908747,3.3126242824908747,2.0759200164706675,2.0759200164706675,6.103966387748303,14.69560176298435,0.0,24.339147469377323,29.965927628503046,6.4208216229260096,6.923737199690624,18.19910120538483,20.771211599071872,10.633577208012662,4.736862953800049,336.204907376,1.2916666666666667,2.0,2.5833333333333335,0.5555555555555556,-1.92,24.0,308.2080000000001,131163.9839691785,20.125289855072463,10.050998753143157,7.103162169389493,143.14125604126278,11.822072695622477,0.49007957401745683,11.822072695622477,0.22385845251294295,0.08486161150257487,0.22385845251294295,-0.6702391882041054,-0.49007957401745683,2.3655,94.62470000000005,336.4320000000001,3.0,6.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,3.0,6.0,0.0,10.0,0.0,0.0,0.0,134.0,20.476967556653417,18.460360185545127,5.783244946364939,5.907179729351506,0.0,0.0,9.589074368143644,0.0,0.0,0.0,20.771211599071872,31.54366002800146,24.69480513267011,5.563451491696996,1.0,19.4324647167844,17.377810950400008,0.0,5.316788604006331,0.0,52.68239926151078,18.468426974431825,23.762552697081826,0.0,5.749511833283905,15.37044016181271,5.687386274683562,5.749511833283905,0.0,42.09439765787891,4.794537184071822,0.0,50.894580720383324,18.19910120538483,0.0,0.0,0.0,87.66,5.5764673878810775,0.0,23.47522497492163,15.766018602858498,0.9456853222234725,0.15446815558641358,5.205845560646315,0.5218187289576663,7.854471266924925,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5710137425129463
aceclofenac,O=C(O)COC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl,1,2.1753707068699124,713.5202167690672,16.81962647737941,11.883552859610479,13.39541075164739,10.96923425058676,6.634646217875554,7.39057516389401,4.610004580655449,5.424404834136662,2.931215633560388,3.5611564219090996,1.8970728994602253,2.389008699178332,18.545492540416618,9.589074368143644,0.0,6.4208216229260096,26.983490668546775,0.0,0.0,42.46456947923127,0.0,10.05365155780638,28.30840717530574,353.02216325600006,1.0434782608695652,1.6956521739130435,2.347826086956522,0.125,-2.239999999999999,23.0,341.08500000000004,125088.26390495044,17.11919928633218,7.852116863221183,4.873913787667224,142.33548360230927,11.689977289269617,0.4787217657456807,11.689977289269617,0.34134370624569926,0.0709077380952381,0.34134370624569926,-1.2012876482217212,-0.4787217657456807,3.907300000000002,88.48550000000004,354.1890000000001,2.0,5.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,2.0,7.0,0.0,6.0,0.0,0.0,0.0,120.0,15.160178952647087,0.0,6.606881964512918,0.0,0.0,11.938610575903699,4.794537184071822,4.794537184071822,0.0,0.0,47.46734805431147,23.762552697081826,5.687386274683562,22.153474525092225,2.0,19.4324647167844,46.51526290573585,0.0,0.0,0.0,6.4208216229260096,11.923670568519249,58.073287598410914,0.0,0.0,5.316788604006331,11.374772549367124,0.0,23.20187978046503,23.65201993525732,20.7467589448697,0.0,5.563451491696996,42.46456947923127,10.045266627482652,0.0,0.0,75.63,4.641664899498894,12.23645380804772,22.110349475720515,12.501684820285979,1.8017007590073075,-1.8337825041887994,12.163659523255902,-0.0709077380952381,-0.6619341546433901,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7696621138235622
acetaminophen,CC(=O)Nc1ccc(O)cc1,1,2.7362980721056545,253.29949758389105,8.267584713501616,6.164862962722325,6.164862962722325,5.1815405503520555,3.2490981480278296,3.2490981480278296,2.228060242189872,2.228060242189872,1.1876733148984595,1.1876733148984595,0.7480265991539318,0.7480265991539318,0.0,4.794537184071822,0.0,11.65669156263541,5.687386274683562,0.0,19.056471336613843,12.13273413692322,0.0,5.316788604006331,5.106527394840706,151.063328528,1.3636363636363635,1.9090909090909092,2.3636363636363638,0.125,-1.5099999999999998,11.0,142.093,285.51074052739676,7.595374077976819,3.0531381005525,2.292303972882069,64.66690538413799,10.524468537414966,0.5079643157925783,10.524468537414966,0.22074743631242583,0.11510204081632636,0.22074743631242583,-0.11510204081632636,-0.5079643157925783,1.3505999999999998,42.41050000000002,151.165,2.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,58.0,10.423315998847038,5.749511833283905,0.0,5.907179729351506,0.0,0.0,4.794537184071822,0.0,0.0,0.0,0.0,24.26546827384644,12.611123474374185,0.0,1.0,9.901064578912528,11.594566004035068,0.0,0.0,0.0,6.923737199690624,5.316788604006331,24.26546827384644,0.0,5.749511833283905,5.316788604006331,5.687386274683562,5.749511833283905,0.0,11.013707124192212,4.794537184071822,0.0,6.923737199690624,24.26546827384644,0.0,0.0,0.0,49.33,0.0,0.0,10.524468537414966,11.460032596371882,0.6900925925925929,0.07851095993953194,6.309537037037037,0.0,1.437358276643991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5950261967780849
acetanilide,CC(=O)Nc1ccccc1,0,2.6742416022951265,217.9590174505521,7.397341225498538,5.794999636411993,5.794999636411993,4.787693700234704,3.114807747754891,3.114807747754891,2.0472116216323366,2.0472116216323366,1.0941576719540291,1.0941576719540291,0.7247493182822928,0.7247493182822928,0.0,4.794537184071822,0.0,5.907179729351506,0.0,5.687386274683562,6.923737199690624,0.0,30.33183534230805,5.316788604006331,0.0,135.068413908,1.3,1.9,2.4,0.125,-1.31,10.0,126.09399999999998,195.6254620163014,6.805074798619103,3.011779444695785,1.89537540220571,59.87267163194198,10.50204081632653,0.3263390909376533,10.50204081632653,0.22074740345902855,0.035925925925925695,0.22074740345902855,-0.035925925925925695,-0.3263390909376533,1.6449999999999998,40.74570000000002,135.16599999999997,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,52.0,5.316788604006331,0.0,0.0,5.907179729351506,0.0,0.0,4.794537184071822,0.0,0.0,0.0,18.19910120538483,12.13273413692322,12.611123474374185,0.0,1.0,4.794537184071822,11.594566004035068,0.0,0.0,0.0,6.923737199690624,5.316788604006331,30.33183534230805,0.0,0.0,5.316788604006331,5.687386274683562,0.0,0.0,5.907179729351506,4.794537184071822,0.0,6.923737199690624,30.33183534230805,0.0,0.0,0.0,29.1,0.0,0.0,10.50204081632653,2.6658333333333335,0.8425925925925928,-0.035925925925925695,9.365736961451248,0.0,1.4930555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6227994751052723
acetazolamide,CC(=O)Nc1nnc(S(N)(=O)=O)s1,0,2.938691458826851,422.35246826398924,10.060477932315068,6.513018912508858,8.14601207436431,5.892865415757243,3.0327457701565326,5.395561829005821,2.0993176423790123,4.811973693691262,0.9328171861807086,3.0815095121098466,0.5258473654376647,1.9053602623835681,10.023291153407584,13.212334168400758,0.0,15.378393889864384,11.336785877934737,0.0,6.923737199690624,0.0,0.0,15.514152220608405,5.138973737607942,221.988132052,1.5384615384615385,2.1538461538461537,2.5384615384615383,0.25,-1.06,13.0,216.203,682.1272768088121,10.023752093802344,3.3584989230794076,2.7167362781176934,78.02145102207903,10.704977796674225,0.3007462541560122,10.704977796674225,0.2668537466795803,0.1078935185185188,0.2668537466795803,-3.824175170068027,-0.3007462541560122,-0.8561000000000003,45.58590000000001,222.251,3.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,2.0,9.0,0.0,2.0,0.0,0.0,0.0,72.0,5.316788604006331,0.0,0.0,15.378393889864384,10.023291153407584,0.0,4.794537184071822,13.556770721936878,0.0,10.197363616602075,11.336785877934737,0.0,6.923737199690624,0.0,1.0,13.212334168400758,32.39881524053316,0.0,10.197363616602075,5.138973737607942,11.263392880364169,5.316788604006331,0.0,0.0,0.0,10.455762341614273,5.131558479839333,0.0,11.336785877934737,24.522340330282518,14.817828337479405,0.0,6.923737199690624,4.339655680673546,0.0,0.0,0.0,115.03999999999999,21.087038926681785,0.7010185185185183,10.519172808012094,13.841021825396826,0.0,-0.34988945578231223,0.0,0.0,1.2758125472411188,-3.824175170068027,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6318586926732331
adinazolam,CN(C)Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,0,1.9354286583238671,943.7032352838613,17.388540578131753,14.147048166399124,14.902977112417577,12.131030293135236,8.11333000146017,8.491294474469397,6.297979709926142,6.734415490398127,4.135182575811938,4.370279678599678,3.0901085796041654,3.262211603557033,0.0,0.0,0.0,0.0,18.112146125566476,34.17478325684811,0.0,0.0,50.49354637612404,31.797107132167127,16.593344622868184,351.125073256,1.08,1.88,2.64,0.21052631578947367,-2.499999999999999,25.0,333.6970000000001,742446.3734078589,15.994809688581315,6.4251555555555555,2.9661224489795917,151.14977477093137,6.304113712871979,0.3020986476385281,6.304113712871979,0.1589214648654629,0.4830905139833712,0.1589214648654629,0.4830905139833712,-0.3020986476385281,3.333300000000002,99.54500000000002,351.8410000000001,0.0,5.0,0.0,1.0,1.0,2.0,1.0,3.0,5.0,0.0,6.0,0.0,3.0,0.0,0.0,0.0,126.0,4.899909730850478,6.544756405912575,11.648808995999854,0.0,0.0,0.0,9.559504380427024,0.0,0.0,10.197363616602075,41.932775232540564,32.29444517073921,16.149536297135317,17.94382768336684,4.0,0.0,17.312624893003218,0.0,19.66437299524391,4.992404732635669,13.08951281182515,14.09534396535438,76.32928184082806,0.0,5.687386274683562,0.0,0.0,0.0,11.600939890232516,39.47140196336899,13.08951281182515,0.0,22.775711979393844,53.52334128032855,5.022633313741326,5.687386274683562,0.0,46.31,2.102283950617284,6.304113712871979,6.910893941938915,9.421213046947175,4.0110192008902334,1.7355904614932394,16.063790819825872,0.0,1.187194428697405,4.041678214495675,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.726750257931781
albendazole,CCCSc1ccc2nc(NC(=O)OC)[nH]c2c1,1,2.1939902741755097,553.246140818398,12.957819157813608,10.31822283683352,11.134719417761247,8.723876650462412,5.701650109153562,6.68724866880705,3.7294089062852156,4.897736852134922,2.3320560634643117,3.5316957261791506,1.505334196435451,2.310611492202904,6.093240070938415,4.794537184071822,0.0,0.0,5.948339280986494,23.207076664905323,12.005281016795308,11.761884949391115,18.19910120538483,26.94534579939142,0.0,265.08849772,1.5555555555555556,2.388888888888889,3.111111111111111,0.3333333333333333,-1.69,18.0,250.21799999999996,16664.71645005493,12.758811074500034,5.769921587334713,2.9509653347357694,109.31462616369996,11.068854593745467,0.45257185717285847,11.068854593745467,0.4131899633782197,0.3976773379104732,0.4131899633782197,-0.5327429844119058,-0.45257185717285847,3.2433000000000005,73.13640000000002,265.33799999999997,2.0,5.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0,2.0,6.0,0.0,4.0,0.0,0.0,0.0,96.0,9.720841474747257,0.0,0.0,5.948339280986494,0.0,6.093240070938415,5.316788604006331,9.77851570501903,0.0,11.761884949391115,6.923737199690624,30.372776435057627,4.895483475517775,18.143198976510057,2.0,9.53140013787187,34.836865736548546,0.0,9.967957041894417,0.0,18.24004229813441,18.179439752030653,18.19910120538483,0.0,0.0,5.316788604006331,10.742876465058316,0.0,11.761884949391115,28.923848260857152,4.736862953800049,0.0,13.344558822616634,23.094584680902603,0.0,11.033401435232523,0.0,67.00999999999999,4.512820287843737,1.8031088067943224,19.547607769398443,2.50902982489292,1.726627456538171,1.4878674064131319,6.002804469009826,0.6069655639140668,2.1528895893501776,1.3169454925118707,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8327124144827058
albuterol,CC(C)(C)NC[C@@H](O)c1ccc(O)c(CO)c1,0,2.7202058661391737,371.41759115181975,13.052041763877792,10.565255425631475,10.565255425631475,7.831517119608919,5.690097531471788,5.690097531471788,5.192962218980245,5.192962218980245,2.4844107658247783,2.4844107658247783,1.4600583700848735,1.4600583700848735,6.103966387748303,10.213054789681411,0.0,17.89531905018017,17.671659389306566,0.0,6.06636706846161,12.13273413692322,20.771211599071872,5.316788604006331,5.106527394840706,239.152143532,1.2941176470588236,1.9411764705882353,2.4705882352941178,0.5384615384615384,-1.1,17.0,218.14699999999996,4163.247058743065,13.962893081761008,5.489653133998208,4.340801106423208,101.9185613604693,9.968935185185185,0.5075837293484645,9.968935185185185,0.12060718497834182,0.048361638636936766,0.12060718497834182,-0.6526620370370377,-0.5075837293484645,1.3059999999999998,66.74510000000004,239.315,4.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,4.0,4.0,0.0,4.0,0.0,0.0,0.0,96.0,20.63637078852845,5.749511833283905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.06636706846161,38.46739722769209,17.647133149992914,12.71084835226122,1.0,15.319582184522117,0.0,0.0,5.316788604006331,0.0,39.020985203716435,6.544756405912575,29.32600418877882,0.0,5.749511833283905,5.316788604006331,0.0,5.749511833283905,0.0,27.403263842818035,6.606881964512918,0.0,38.002080970214166,18.19910120538483,0.0,0.0,0.0,72.72,0.0,0.0,0.0,31.6113353489544,1.0541228898966999,0.048361638636936766,4.758963529856387,-0.6526620370370377,6.2632119630259515,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6389509580864461
