Drug_ID,Drug,Y,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,ExactMolWt,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,FractionCSP3,HallKierAlpha,HeavyAtomCount,HeavyAtomMolWt,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,MaxAbsEStateIndex,MaxAbsPartialCharge,MaxEStateIndex,MaxPartialCharge,MinAbsEStateIndex,MinAbsPartialCharge,MinEStateIndex,MinPartialCharge,MolLogP,MolMR,MolWt,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRadicalElectrons,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumValenceElectrons,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,RingCount,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,qed
CHEMBL1754,CCN1CC(CCN2CCOCC2)C(c2ccccc2)(c2ccccc2)C1=O,4.1,1.7378936555711126,732.2068621056527,19.399130457682162,16.71863098250591,16.71863098250591,13.763222117191255,10.46986574401073,10.46986574401073,7.823464371337447,7.823464371337447,6.415175794048572,6.415175794048572,4.940685520313594,4.940685520313594,5.41499046939678,4.794537184071822,0.0,11.8250857755129,0.0,63.4852705649087,0.0,0.0,17.032643867773697,60.35458347823398,4.736862953800049,378.23072819999993,0.9642857142857143,1.5357142857142858,2.0714285714285716,0.4583333333333333,-2.1699999999999995,28.0,348.2760000000001,4438893.01905771,19.159693639884743,8.457968130553809,3.356604963196253,167.65087506121918,13.81324436255984,0.3787927404267949,13.81324436255984,0.237555222787085,0.24942360586209822,0.237555222787085,-0.5924436649659865,-0.3787927404267949,3.173300000000001,111.28400000000006,378.5160000000001,0.0,4.0,0.0,2.0,2.0,2.0,0.0,2.0,3.0,0.0,4.0,0.0,6.0,0.0,2.0,2.0,148.0,9.636772684650527,5.41499046939678,0.0,5.907179729351506,0.0,0.0,9.694446914922299,0.0,0.0,0.0,60.6636706846161,31.0162182119232,32.096931669811696,13.213763929025836,4.0,9.53140013787187,5.907179729351506,0.0,9.799819461700956,5.917906046161393,18.759549292013414,45.93754595858871,71.7905736680101,0.0,0.0,0.0,0.0,0.0,0.0,61.64454514964117,14.94639060726865,5.917906046161393,24.471461806010623,60.6636706846161,0.0,0.0,0.0,32.78,5.498610494568963,0.0,18.334385235575713,0.0,1.6466813245359875,0.5064559187872681,20.808380483353424,1.0059807256235827,8.282839150888393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7740303952237003
CHEMBL1484,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1,4.1,1.839003616428837,1172.6194118117548,25.534804948073717,20.238739969239,20.238739969239,16.722453108210818,11.133473904886715,11.133473904886715,8.33834168802868,8.33834168802868,5.80142749751672,5.80142749751672,4.142446082011131,4.142446082011131,22.779827670882764,19.703392636909218,0.0,23.440477299335015,30.04704292963381,5.563451491696996,25.30889874666236,19.913841467842857,42.279417055835715,5.316788604006331,9.473725907600098,479.205635648,1.0285714285714285,1.6857142857142857,2.3142857142857145,0.3076923076923077,-3.979999999999999,35.0,450.30100000000033,46735509.32853685,25.63946928627584,11.435107574340066,6.127501496692924,203.72545594462827,13.266821337733134,0.4655800563752146,13.266821337733134,0.3362968776036888,0.13577215608465676,0.3362968776036888,-0.8767144892979128,-0.4655800563752146,3.677800000000002,130.1241,479.5330000000002,1.0,9.0,0.0,1.0,1.0,2.0,0.0,2.0,8.0,1.0,9.0,0.0,9.0,0.0,0.0,0.0,184.0,14.790514511606428,6.606881964512918,0.0,0.0,5.687386274683562,11.938610575903699,15.01422799961605,9.589074368143644,0.0,0.0,42.46456947923127,32.02204936545243,36.616325574860035,29.09722369639513,3.0,23.98611132456141,17.62599685058726,0.0,10.216698334856808,0.0,26.31013685145522,27.30910789438022,98.37881255456428,0.0,0.0,5.316788604006331,5.687386274683562,0.0,0.0,49.07093924995207,25.607556681656316,10.114318268765572,30.89228342893663,77.1375913024047,0.0,0.0,0.0,111.00999999999999,10.5696086467437,0.0,38.84696868742975,14.426789390772832,2.8494780063085043,-2.1124359222114224,15.83190910458488,0.0,4.740717592538689,3.18029782716641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.329448552641207
CHEMBL1097,CCN(CC)CCNC(=O)c1ccc(NC(C)=O)cc1,6.4,2.4506861321735043,438.93677733377945,14.957819157813608,12.40153837793238,12.40153837793238,9.562080607913936,6.946065746526664,6.946065746526664,4.5413200505996825,4.5413200505996825,3.0754729677490693,3.0754729677490693,1.8776423034512622,1.8776423034512622,0.0,9.589074368143644,0.0,11.814359458703011,17.795594172293132,19.634269217737724,6.923737199690624,24.26546827384644,0.0,29.380961338244386,0.0,277.179026976,1.1,1.7,2.2,0.4666666666666667,-1.88,20.0,254.18399999999994,24681.241445962638,16.175187637969096,8.32258378132446,5.401598183903249,119.89848438657344,11.91935122197027,0.35075278137301136,11.91935122197027,0.2508256469094607,0.09117488662131468,0.2508256469094607,-0.1236813327953088,-0.35075278137301136,1.7165999999999995,80.86690000000004,277.368,2.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,2.0,5.0,0.0,7.0,0.0,0.0,0.0,110.0,15.533486938863138,0.0,0.0,5.907179729351506,5.907179729351506,0.0,9.589074368143644,0.0,0.0,0.0,13.847474399381248,37.35498108567159,31.264087777896332,0.0,1.0,9.589074368143644,17.501745733386574,0.0,10.216698334856808,0.0,20.771211599071872,31.49581422765663,29.828919765543436,0.0,0.0,10.633577208012662,5.687386274683562,0.0,0.0,42.893294813203795,4.794537184071822,0.0,31.129200274840688,24.26546827384644,0.0,0.0,0.0,61.440000000000005,0.0,0.0,25.068526665821732,5.5572732094444754,1.28781489936297,-0.21485621941662347,6.858571743512219,0.0,9.109336367941895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7974414739790292
CHEMBL517712,CN1[C@H]2CC[C@@H]1C[C@H](OC(=O)C(CO)c1ccccc1)C2,4.1,1.632677623313254,476.06840462966727,14.819626477379408,12.442610100567016,12.442610100567016,10.185871848001627,7.7695615968301235,7.7695615968301235,6.226609618478852,6.226609618478852,5.006836850664758,5.006836850664758,3.705569432943791,3.705569432943791,5.917906046161393,9.901064578912528,0.0,18.68015364021307,12.083681658295921,18.405094737549014,12.841643245852019,0.0,30.33183534230805,11.947581713527669,4.736862953800049,289.167793596,1.2857142857142858,1.9047619047619047,2.4761904761904763,0.5882352941176471,-1.3899999999999997,21.0,266.1909999999999,86059.57295626972,14.54322777837141,6.1594002436145106,2.965447272746595,125.26323882275126,12.362390873015872,0.4617237756087618,12.362390873015872,0.3155498550108651,0.003668745275887453,0.3155498550108651,-0.5661952003023438,-0.4617237756087618,1.9308999999999996,79.95580000000005,289.37500000000006,1.0,4.0,0.0,2.0,2.0,1.0,0.0,1.0,4.0,1.0,4.0,0.0,4.0,0.0,2.0,2.0,114.0,14.743300079491233,12.021872433909696,0.0,0.0,0.0,5.969305287951849,4.794537184071822,0.0,0.0,0.0,30.33183534230805,38.29440996607822,12.083681658295921,6.606881964512918,3.0,14.637927532712576,5.969305287951849,0.0,4.899909730850478,0.0,49.78884058390966,13.654553947190108,35.89528683400505,0.0,0.0,0.0,0.0,0.0,0.0,47.81794440687736,9.53140013787187,0.0,37.164644029562425,30.33183534230805,0.0,0.0,0.0,49.769999999999996,5.702325207860922,0.0,14.784075097631645,9.528670319979845,0.8202772528764596,-0.8600349584278157,10.470208907254364,4.259639448754708,-0.20602521101033,2.1675306017468716,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8605899449393155
CHEMBL185,O=c1[nH]cc(F)c(=O)[nH]1,0.12,3.5238977189940166,312.83394095677266,6.8533711511285205,4.271811323126579,4.271811323126579,4.198377302757663,2.1745807961581027,2.1745807961581027,1.4198610557263853,1.4198610557263853,0.7739642065842112,0.7739642065842112,0.3933619097045291,0.3933619097045291,17.066231134301376,13.979489415818463,0.0,0.0,6.196843571613076,0.0,0.0,4.9839785209472085,4.9839785209472085,0.0,0.0,130.017855556,1.4444444444444444,2.111111111111111,2.5555555555555554,0.0,-1.3900000000000001,9.0,127.05399999999999,104.20091930659319,5.741406044678055,1.8479763724759504,1.042170728106469,48.359278684403755,11.984814814814815,0.3253471361874118,11.984814814814815,0.3253471361874118,0.7070370370370369,0.3111557027192775,-1.0011574074074072,-0.3111557027192775,-0.7977000000000001,27.641399999999994,130.078,2.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,48.0,4.9839785209472085,0.0,0.0,5.817220841045895,5.559266895052007,5.689743398203474,9.77851570501903,4.794537184071822,4.39041504767482,0.0,0.0,0.0,6.196843571613076,0.0,1.0,4.39041504767482,0.0,0.0,9.967957041894417,0.0,0.0,0.0,32.8521490740581,0.0,0.0,11.24901029325548,4.39041504767482,0.0,0.0,9.967957041894417,0.0,5.817220841045895,0.0,15.785917939756718,0.0,0.0,0.0,65.72,11.984814814814815,0.0,24.005000000000003,0.0,-1.7081944444444441,-0.9911111111111108,0.0,0.7094907407407407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.482564502908463
CHEMBL1055,NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl,36.0,2.2295565964620527,897.4658924470708,16.12095586463014,11.076973383881645,12.649398910827827,10.232017366004007,6.205257059349516,8.129541010280304,4.900328494848947,6.8373735638935536,3.5114172471984766,4.903873960388168,2.4697056799753505,3.540945889788315,21.65545647672934,18.318861563241466,0.0,15.481568280956097,11.126902983393991,6.06636706846161,12.13273413692322,24.26546827384644,0.0,5.316788604006331,16.73991362784046,338.012805512,1.1818181818181819,1.8636363636363635,2.5454545454545454,0.07142857142857142,-1.9299999999999993,22.0,327.6840000000001,86096.45429443721,14.98456335435568,4.786022252575603,2.186719505317761,131.1221012529823,11.963106361629013,0.3631152569719317,11.963106361629013,0.25398536824033263,0.06253831779625374,0.25398536824033263,-4.058960157365413,-0.3631152569719317,0.9242000000000001,79.7322,338.77200000000005,4.0,6.0,0.0,1.0,1.0,2.0,0.0,2.0,4.0,3.0,8.0,0.0,2.0,0.0,0.0,0.0,114.0,10.423315998847038,4.895483475517775,5.724985593970254,10.023291153407584,5.907179729351506,0.0,4.794537184071822,13.556770721936878,0.0,0.0,35.866408164078955,18.19910120538483,16.690354475090988,5.022633313741326,3.0,18.318861563241466,27.531410772991606,0.0,5.316788604006331,5.138973737607942,10.620469069488028,0.0,64.17755726806358,0.0,0.0,10.455762341614273,0.0,0.0,11.600939890232516,19.43150410852115,15.748276747377837,0.0,21.48489165916281,47.360052954749044,5.022633313741326,0.0,0.0,109.49000000000001,23.11885896951373,5.833687851683882,11.642478369691498,18.35008702863862,-1.030959152179389,-0.4535133219954648,10.37609818979032,0.0,0.0,-4.058960157365413,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7560395435859315
CHEMBL1747,NC[C@H]1O[C@H](O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H]2O)[C@H](N)C[C@@H]1O,2.0,1.6991706468763768,607.1880034640932,23.739758018147146,17.667143378704328,17.667143378704328,15.081825115717525,10.75904610808332,10.75904610808332,8.784966984839405,8.784966984839405,6.414988289339922,6.414988289339922,4.428017313305889,4.428017313305889,92.1860298417616,25.532636974203527,0.0,19.386399651764595,0.0,0.0,0.0,0.0,0.0,0.0,47.615789201011125,467.25912776399997,0.71875,1.28125,1.84375,1.0,-0.5599999999999999,32.0,430.2240000000002,8788058.807249958,26.05189361507292,10.793525832364557,5.235544635959526,185.0505766760553,10.97178555681532,0.3935672815104058,10.97178555681532,0.18564758953485266,0.05423451724924555,0.18564758953485266,-1.440677402069899,-0.3935672815104058,-6.295799999999999,108.37100000000002,467.52000000000015,15.0,14.0,1.0,2.0,3.0,0.0,0.0,0.0,14.0,10.0,14.0,0.0,6.0,1.0,2.0,3.0,188.0,73.14842617521465,36.62379832648981,12.580053458670426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.841643245852019,18.628438064208495,30.898496398305447,3.0,44.480088789403716,0.0,0.0,0.0,28.668337385810926,98.4207911231007,13.151638370425493,0.0,0.0,0.0,28.668337385810926,0.0,0.0,0.0,124.26342322187772,18.947451815200196,0.0,12.841643245852019,0.0,0.0,0.0,0.0,268.17,22.716317116442028,0.0,0.0,50.70976490930665,29.76995331513709,0.0,-3.266625684923709,-10.763801597427422,-0.4989413918679795,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17400656822855506
CHEMBL631,CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1,2.1,1.8899771393046099,642.5992384237759,17.90756662611944,14.779853555443232,14.779853555443232,12.202708600407234,8.880973111005792,8.880973111005792,6.073886197823454,6.073886197823454,3.9089912945053737,3.9089912945053737,2.550429478771192,2.550429478771192,6.103966387748303,9.901064578912528,0.0,12.390126910877857,30.699362976745494,18.52902952053558,0.0,12.13273413692322,42.46456947923127,12.240525803696954,4.736862953800049,341.199093724,1.12,1.84,2.6,0.38095238095238093,-2.1699999999999995,25.0,314.23500000000007,475089.9776545731,19.15866740897415,10.644512318042269,6.6866031377900255,149.39213962048515,12.539545862536935,0.4900820931304611,12.539545862536935,0.16642694970190106,0.05375077976042997,0.16642694970190106,-0.5981232194566433,-0.4900820931304611,3.2414000000000023,100.19800000000004,341.4510000000001,2.0,4.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,2.0,4.0,0.0,11.0,0.0,0.0,0.0,134.0,15.160178952647087,18.460360185545124,5.783244946364939,0.0,0.0,0.0,4.794537184071822,0.0,0.0,0.0,49.38830667892189,37.08258528038481,12.965578028838586,5.563451491696996,2.0,14.637927532712578,5.783244946364939,0.0,5.316788604006331,0.0,32.29016845621695,19.696394776338067,65.72420659954848,0.0,5.749511833283905,10.05365155780638,0.0,5.749511833283905,0.0,36.69013350529202,6.4208216229260096,0.0,35.68682061300846,54.59730361615449,0.0,0.0,0.0,58.559999999999995,5.691969718442933,0.0,12.539545862536935,13.096239347288298,1.7211284619399427,0.5908833750825098,17.203050562217427,1.5634768298301374,3.5937058426618167,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4865357366381187
CHEMBL296035,CCc1cccc2cc(C(O)CNC(C)(C)C)oc12,2.3,2.2096141777085445,551.3645419579747,14.043605595440512,12.156426794285046,12.156426794285046,8.903996764680352,6.848951372688714,6.848951372688714,5.98450835142056,5.98450835142056,3.179774182245475,3.179774182245475,2.0894872762704884,2.0894872762704884,6.103966387748303,5.106527394840706,0.0,5.538925252383345,12.305003824787018,17.390065979033047,5.563451491696996,0.0,18.19910120538483,39.07810447123043,4.417150937053347,261.172878976,1.3157894736842106,2.0526315789473686,2.6842105263157894,0.5,-1.3200000000000003,19.0,238.18099999999995,19605.315637450985,14.096802314651358,5.352491563366634,3.3657671062744106,114.17102976628591,10.192231670445956,0.4579670847809505,10.192231670445956,0.13709635915584967,0.012327018770471154,0.13709635915584967,-0.6145082199546488,-0.4579670847809505,3.4167000000000014,78.30750000000005,261.36499999999995,2.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,2.0,3.0,0.0,4.0,0.0,0.0,0.0,104.0,14.840466935900384,17.447233948264987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.122838405075452,38.821851782156486,17.469905872760716,0.0,2.0,9.523678331894054,10.969244356107037,0.0,5.316788604006331,0.0,45.75866206182015,6.544756405912575,35.589167184417875,0.0,0.0,5.316788604006331,0.0,0.0,0.0,17.190209053136627,6.4208216229260096,0.0,45.122614097082234,28.682619210899787,0.0,10.969244356107037,0.0,45.4,5.827068216175359,0.0,0.0,14.53469749937012,2.065950058264047,0.6320833333333333,8.046180673658352,0.3166720206601157,8.827348198538676,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8861280901991864
CHEMBL1496,CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)O,2.0,2.6114124073994325,1119.6962406474515,24.921920772951356,18.804605192944152,19.621101773871878,15.289620021272572,10.170897294129276,12.01920891339378,7.977063736508546,9.990826492838412,4.815832805599963,5.974068274790631,3.0453929602700796,3.423675267881731,40.43857168082794,27.815804005756988,0.0,18.287066950073896,22.514758973090913,10.560985174807637,43.46518047019139,0.0,13.847474399381248,9.967957041894417,5.106527394840706,481.1682848359999,1.1818181818181819,1.7878787878787878,2.303030303030303,0.4090909090909091,-2.8899999999999997,33.0,453.3220000000003,7851796.579647208,26.36301909287778,10.81866448044315,7.307118876067872,191.84786395020552,13.507168228709743,0.48115942711561593,13.507168228709743,0.3054726542289242,0.060088997018560075,0.3054726542289242,-3.6514625746067053,-0.48115942711561593,2.4017,122.67920000000005,481.5460000000002,3.0,9.0,0.0,0.0,0.0,1.0,1.0,2.0,7.0,3.0,11.0,0.0,10.0,0.0,0.0,0.0,180.0,15.319582184522117,5.817220841045895,0.0,15.97163043439408,0.0,5.969305287951849,4.794537184071822,27.081385065194404,0.0,0.0,25.99951461304901,30.183374320007832,24.59539658899719,36.272379571630935,2.0,32.92233140059769,28.016955829179807,0.0,9.967957041894417,0.0,44.81495646689126,17.608657157484828,47.41608870827167,0.0,11.257379486545457,4.305215991296234,10.338754328661313,0.0,0.0,65.18601544038252,14.817828337479405,5.817220841045895,43.86440317794012,30.34148838068032,0.0,17.333399593379337,0.0,140.92,38.58442574952018,0.0,19.559133995793655,28.780397567810432,1.8018797926527013,-1.8684631415949744,5.48694976476941,0.859632341609722,3.705124941696911,-2.3257476789246936,1.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4698020340853984
