Drug_ID,Drug,Y,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,ExactMolWt,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,FractionCSP3,HallKierAlpha,HeavyAtomCount,HeavyAtomMolWt,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,MaxAbsEStateIndex,MaxAbsPartialCharge,MaxEStateIndex,MaxPartialCharge,MinAbsEStateIndex,MinAbsPartialCharge,MinEStateIndex,MinPartialCharge,MolLogP,MolMR,MolWt,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRadicalElectrons,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumValenceElectrons,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,RingCount,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,qed
DEMETHYLASTEMIZOLE,Oc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,1.0,1.2289782774692768,1195.2637045980944,22.622745096813752,18.62211982278003,18.62211982278003,16.13616292858424,11.60429046531241,11.60429046531241,8.813434988366707,8.813434988366707,6.482343115371446,6.482343115371446,4.551442110636742,4.551442110636742,0.0,9.496942442515525,0.0,5.817220841045895,18.33610906834444,61.44192629443176,17.696185628620217,12.13273413692322,42.46456947923127,20.850165051109773,4.9839785209472085,444.23253976800004,0.9090909090909091,1.606060606060606,2.3636363636363638,0.2962962962962963,-3.379999999999999,33.0,415.32200000000023,56138161.248682804,21.46490124961028,9.628046869721992,5.172012968062036,193.04920672249364,13.360181527906027,0.5079666452002697,13.360181527906027,0.20392162980396877,0.21781585197145836,0.20392162980396877,-0.21781585197145836,-0.5079666452002697,5.048300000000005,130.13049999999998,444.55400000000026,2.0,5.0,0.0,1.0,1.0,3.0,1.0,4.0,5.0,2.0,6.0,0.0,7.0,0.0,1.0,1.0,170.0,19.89032537748887,11.5667326743298,0.0,5.948339280986494,0.0,0.0,0.0,9.374393568622029,0.0,0.0,36.39820241076966,66.78757026294168,25.676110046885686,17.5781578411451,5.0,9.496942442515525,16.981740716219015,0.0,14.450987899589041,0.0,31.849062103838566,24.951057821744058,89.74052864597923,0.0,5.749511833283905,5.316788604006331,10.338754328661313,5.749511833283905,0.0,45.23362534131543,12.965578028838586,5.817220841045895,23.96854622924601,72.79640482153933,0.0,11.033401435232523,0.0,53.32,15.554393222253939,0.0,7.3728282327997885,13.138425226487668,4.3456634139066646,0.9758475734760133,22.716452307626017,3.1215310378990795,3.7748589855508277,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4189649995766286
GBR-12909,Fc1ccc(C(OCC[NH+]2CC[NH+](CCCc3ccccc3)CC2)c2ccc(F)cc2)cc1,1.0,1.2229127412398182,909.9522562084373,22.8822581208076,19.111042035816013,19.111042035816013,16.169836433395453,12.007983883956896,12.007983883956896,8.943085036976932,8.943085036976932,6.588462447666923,6.588462447666923,4.62545653303809,4.62545653303809,0.0,8.78083009534964,0.0,17.73840806984009,6.606881964512918,37.18199382405773,55.88401060620717,34.06528773554739,0.0,30.33183534230805,4.736862953800049,452.26282298817995,0.6666666666666666,1.1818181818181819,1.7272727272727273,0.35714285714285715,-2.5999999999999988,33.0,418.3170000000002,40631782.52639689,23.55457707339812,12.028682736790849,7.191656348968451,195.15346489782792,13.400224450102945,0.3629395976087072,13.400224450102945,0.12709262343529681,0.27297226580319234,0.12709262343529681,-0.3236105677205554,-0.3629395976087072,2.487000000000001,126.48540000000004,452.5890000000001,2.0,3.0,0.0,1.0,1.0,3.0,0.0,3.0,1.0,2.0,5.0,0.0,10.0,0.0,1.0,1.0,174.0,14.536682415501005,50.46219009940297,0.0,0.0,0.0,0.0,0.0,8.78083009534964,0.0,0.0,54.59730361615449,47.376644371863435,6.4208216229260096,13.151638370425493,4.0,23.317512510850648,0.0,0.0,0.0,0.0,18.94560963360032,45.875420399988364,107.18756804718375,0.0,0.0,9.799819461700956,8.78083009534964,0.0,0.0,45.875420399988364,11.157684576726059,11.63444168209179,29.2151424857653,78.86277189000094,0.0,0.0,0.0,18.110000000000003,33.06536373642109,0.0,3.2684000055189983,0.0,3.186619368183214,-0.5459445316063849,23.47573898670684,2.0630183559879036,7.486804078788344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4838459137463691
CLOFILIUM PHOSPHATE,CCCCCCC[N+](CC)(CC)CCCCc1ccc(Cl)cc1.CCCCCCC[N+](CC)(CC)CCCCc1ccc(Cl)cc1.CCCCCCC[N+](CC)(CC)CCCCc1ccc(Cl)cc1.O=P([O-])([O-])[O-],1.0,1.0299658761223403e-06,1551.164205279381,55.40522711209199,48.93978831587414,52.1020023449294,35.46237688232502,29.98069946265259,32.575186368360725,21.204502910378974,23.408237442794846,16.016443005730856,16.772371951749314,10.338130596072133,10.716095069081362,7.822697123132171,0.0,0.0,0.0,0.0,15.067899941223978,262.77624286935,0.0,36.39820241076966,98.71183720798527,54.04810276388629,1109.737778702,0.3108108108108108,0.4864864864864865,0.6621621621621622,0.7142857142857143,-1.4799999999999995,74.0,1000.0429999999997,1852717368124491.2,72.52,45.39095315872665,38.14910947784551,471.7370062221638,8.54861111111111,0.8224170328723037,8.54861111111111,0.07860914749075747,0.8374746183305162,0.07860914749075747,-5.388888888888889,-0.8224170328723037,16.644499999999972,320.28270000000015,1111.930999999999,0.0,7.0,0.0,0.0,0.0,3.0,0.0,3.0,4.0,0.0,11.0,0.0,39.0,0.0,0.0,0.0,428.0,32.69437566627263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.822697123132171,0.0,149.75962828687318,190.9433044278946,15.067899941223978,78.5370768709509,3.0,32.69437566627263,42.62551679382972,0.0,0.0,0.0,216.4133537474399,78.5370768709509,104.55465923785431,0.0,0.0,14.680234808257424,0.0,0.0,42.62551679382972,91.98616944403479,23.827513153709358,0.0,213.8412433537529,72.79640482153933,15.067899941223978,0.0,0.0,86.25,12.485345726253463,17.844189077553327,25.645833333333332,2.5124238549915487,4.250173767156888,0.0,25.020530022665387,32.33750343487354,36.931778560950285,-5.388888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.03235192941750018
FLUSPIRILENE,O=C1NCN(c2ccccc2)C12CC[NH+](CCCC(c1ccc(F)cc1)c1ccc(F)cc1)CC2,1.0,1.2154019850501034,1081.3531799012553,24.252501608810675,19.85114885012942,19.85114885012942,17.04848050536686,12.505866895585886,12.505866895585886,9.757096432938706,9.757096432938706,7.757078393313539,7.757078393313539,5.771905274783719,5.771905274783719,5.538925252383345,13.575367279421462,0.0,23.45952745760469,6.6686911888991425,62.131844967519314,29.165378004696915,0.0,42.46456947923127,22.349432471780027,0.0,476.25079550409,0.8571428571428571,1.4285714285714286,2.0,0.3448275862068966,-3.2499999999999982,35.0,444.3350000000002,137951036.65065995,23.489938383295026,10.162448365189386,4.937157789945246,205.11041491284027,13.504637904056032,0.33872675226311644,13.504637904056032,0.24729652643368188,0.09806925594008287,0.24729652643368188,-0.4487977907833227,-0.33872675226311644,3.8883000000000028,133.33639999999997,476.5910000000001,2.0,4.0,0.0,2.0,2.0,3.0,0.0,3.0,2.0,2.0,6.0,0.0,7.0,0.0,2.0,2.0,182.0,15.116608065707286,17.173366934475133,0.0,5.907179729351506,0.0,0.0,4.794537184071822,8.78083009534964,0.0,0.0,42.46456947923127,60.36674864001567,24.446935566696975,26.30296040663687,5.0,18.475277010271938,11.594566004035068,0.0,5.316788604006331,0.0,37.14011779024878,31.20287013748735,101.62411655548674,0.0,0.0,15.116608065707286,14.468216370033202,0.0,0.0,37.74906538837172,4.794537184071822,11.63444168209179,42.72809552125942,78.86277189000094,0.0,0.0,0.0,36.78,27.009275808112065,0.0,16.646555449130652,3.0701484531843755,2.74028293077232,-0.25778984253257775,23.482133257847625,3.5731254624337243,3.4862684810518227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5430629946965531
VANOXERINE HYDROCHLORIDE,Fc1ccc(C(OCCN2CCN(CCCc3ccccc3)CC2)c2ccc(F)cc2)cc1,1.0,1.2229127412398182,909.9522562084373,22.8822581208076,19.005469226815933,19.005469226815933,16.169836433395453,11.78403013649828,11.78403013649828,8.626366609976682,8.626366609976682,6.285070908221652,6.285070908221652,4.347671901803357,4.347671901803357,0.0,8.78083009534964,0.0,17.73840806984009,6.606881964512918,56.81626304179545,36.249741388469445,24.26546827384644,0.0,40.131654804009,4.736862953800049,450.24827008399996,0.6666666666666666,1.1818181818181819,1.7272727272727273,0.35714285714285715,-2.5999999999999988,33.0,418.3170000000002,40631782.52639689,23.55457707339812,12.028682736790849,7.191656348968451,195.15346489782792,13.39491873018184,0.36745935350895853,13.39491873018184,0.12273087774121308,0.27940230695545587,0.12273087774121308,-0.3421522343872221,-0.36745935350895853,5.3212000000000055,128.23800000000003,450.5730000000001,0.0,3.0,0.0,1.0,1.0,3.0,0.0,3.0,3.0,0.0,5.0,0.0,10.0,0.0,1.0,1.0,174.0,9.636772684650527,17.73840806984009,0.0,0.0,0.0,0.0,4.899909730850478,8.78083009534964,0.0,0.0,54.59730361615449,60.34222240070202,32.72378202956288,6.606881964512918,4.0,13.517693049149688,0.0,0.0,9.799819461700956,0.0,18.94560963360032,45.875420399988364,107.18756804718375,0.0,0.0,0.0,8.78083009534964,0.0,0.0,55.67523986168931,11.157684576726059,11.63444168209179,29.2151424857653,78.86277189000094,0.0,0.0,0.0,15.71,33.02711624215711,0.0,4.9724310841839845,0.0,3.1413287303231323,-0.5588046139109117,23.348357917632946,1.9705443386031718,6.765692967677234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41575807881255283
L-691121,CS(=O)(=O)Nc1ccc2c(c1)C(=O)CC1(CCN(CCc3ccc4nonc4c3)CC1)O2,1.0,1.2093788743196474,1278.4681098672609,22.346724214874857,17.704979612726643,18.52147619365437,15.285338160041666,10.562958166337044,12.454369704395297,8.649125321485792,10.397580520669534,6.194577947653235,6.801071019947347,4.505037358499926,5.060156655468174,15.624341964391272,13.212334168400758,0.0,5.783244946364939,23.421171222590473,56.185904705259674,5.563451491696996,18.19910120538483,18.19910120538483,19.935331109553456,9.365901890693397,456.146740868,1.09375,1.875,2.65625,0.4090909090909091,-2.9800000000000004,32.0,432.3320000000003,22013285.1340706,20.896787777244196,7.858830315503363,4.327190338992304,185.2897976074895,12.864406710178333,0.48594508163314365,12.864406710178333,0.22931922799006926,0.007986021487207617,0.22931922799006926,-3.4067510718753247,-0.48594508163314365,2.636800000000001,118.39700000000005,456.5240000000003,1.0,9.0,0.0,2.0,2.0,2.0,1.0,3.0,8.0,1.0,10.0,0.0,5.0,0.0,1.0,1.0,168.0,9.636772684650527,22.383964079500117,5.783244946364939,10.023291153407584,0.0,0.0,9.51663204852391,13.046835921222286,0.0,0.0,6.06636706846161,52.629434971181944,38.16329873827331,18.24004229813441,5.0,22.578236059094156,32.5273238096886,0.0,15.213236245101367,0.0,31.284337302687725,30.61213326570122,47.52510539416365,0.0,5.749511833283905,9.458957818252138,5.687386274683562,5.749511833283905,0.0,60.905367388028054,16.444112776333593,0.0,35.18390503624384,41.02724134766301,0.0,11.033401435232523,0.0,114.63000000000001,36.42381202975247,0.0,15.252277400478226,7.729937407125051,3.0236644613314114,0.5228242533218808,10.83756663262593,3.8328364958516756,2.617165724722023,-3.4067510718753247,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6231595825655395
BMCL20031829_02,O=C1NCCN1CCN1CC=C(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1,1.0,1.3950594114390937,1154.3457316746117,21.371668241257193,17.15171791399466,17.907646860013113,15.080520035918415,10.594353148920984,10.972317621930213,8.04961279786264,8.486048578334623,6.141815354978378,6.3769124577661165,4.418993759085306,4.591096783038174,0.0,9.184952231746642,0.0,11.848335353383966,5.022633313741326,62.27967126516608,23.269290158689483,12.13273413692322,23.099010936235306,27.05666166109512,11.600939890232516,438.162267288,1.064516129032258,1.903225806451613,2.6129032258064515,0.2916666666666667,-2.8299999999999987,31.0,414.7420000000002,21749923.006552286,20.09388914618475,8.36306228393064,4.052850906644251,185.23730282349567,13.419353434017761,0.33620615891508593,13.419353434017761,0.3170640173569848,0.040483392297984144,0.3170640173569848,-0.2453967718016512,-0.33620615891508593,4.537300000000004,122.24870000000003,438.93400000000025,1.0,5.0,0.0,2.0,2.0,2.0,1.0,3.0,3.0,1.0,7.0,0.0,5.0,0.0,1.0,1.0,160.0,14.783797982648164,5.817220841045895,0.0,0.0,0.0,6.031114512338072,4.899909730850478,9.184952231746642,0.0,0.0,17.676959997066398,54.458495632226544,67.1250773016752,5.516700717616262,5.0,9.184952231746642,34.10808386472092,0.0,19.68370771349864,0.0,6.4208216229260096,39.26853843547545,71.14073880416245,0.0,5.687386274683562,5.316788604006331,9.184952231746642,0.0,11.600939890232516,59.66657205730583,0.0,5.817220841045895,11.984273114623004,54.737433157678225,5.022633313741326,22.16341573683389,0.0,40.510000000000005,15.516213480186519,6.320211389373545,15.973218461342075,4.6524506096708995,4.430529032984218,-0.2453967718016512,12.49239785408555,5.337071592895907,4.967748795707387,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6350817792780484
DOFETILIDE,C[NH+](CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1,1.0,1.709981800598181,989.1450586689966,21.493353063746344,16.80496731151024,18.437960473365692,13.499933116870256,9.08760539975666,12.87042847587317,7.02532451294864,10.522234911316136,4.052764458850437,5.265750603438665,2.6126473431514596,3.7411175703781523,20.046582306815168,16.835593968657875,0.0,0.0,23.731166347163946,37.58532429347096,4.899909730850478,36.39820241076966,12.13273413692322,16.491861711581365,4.736862953800049,442.14648941608993,0.7931034482758621,1.2758620689655173,1.7586206896551724,0.3684210526315789,-2.2999999999999994,29.0,414.35900000000015,1359743.1414599135,22.983595511475453,9.94823455513327,9.638465236464151,172.53774717809378,11.221609465596718,0.48772278338777636,11.221609465596718,0.22931888212140267,0.5003219335184825,0.22931888212140267,-3.2825128870169418,-0.48772278338777636,0.5658000000000025,115.63670000000005,442.5830000000002,3.0,8.0,0.0,0.0,0.0,2.0,0.0,2.0,5.0,3.0,10.0,0.0,11.0,0.0,0.0,0.0,160.0,9.636772684650527,18.9011502037094,0.0,20.046582306815168,0.0,0.0,9.444189728904176,16.835593968657875,0.0,0.0,12.13273413692322,41.96165390246666,17.795594172293132,26.103966755612575,2.0,26.472366653308402,31.42135485618229,0.0,0.0,0.0,6.4208216229260096,48.69979485494224,54.09438803938988,0.0,5.749511833283905,19.080962413554705,11.374772549367124,5.749511833283905,0.0,56.09119909469594,26.467403929741177,0.0,5.563451491696996,48.53093654769288,0.0,0.0,0.0,106.00999999999999,55.40383769129345,0.0,1.3043524936630098,0.0,2.1960541427971343,0.6859409772382914,14.14821687543452,3.107068769356587,2.2761799790317108,-4.454984262148036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4717304836678942
BMCL20031829_15,CN(C)Cc1cc2cc(Cl)ccc2n1-c1ccc(F)cc1,1.0,2.2365167622768407,775.3344863537446,14.982763184195939,11.976265071721926,12.732194017740381,10.041713895658194,6.749744559817322,7.127709032826549,5.38842269740237,5.824858477874354,3.4028581367927746,3.6379552395805135,2.5788033474666374,2.7593459776953773,0.0,4.39041504767482,0.0,5.817220841045895,0.0,33.85162892126698,12.13273413692322,12.13273413692322,32.29444517073921,15.533376447103443,11.600939890232516,302.098604412,1.0476190476190477,1.7619047619047619,2.4285714285714284,0.17647058823529413,-1.8399999999999999,21.0,286.652,73367.39406790941,14.112237163246272,5.507512775175046,2.7992895628333248,127.91275540810696,13.170886034510222,0.3122854533571121,13.170886034510222,0.12286011315901753,0.22924471949273495,0.12286011315901753,-0.22924471949273495,-0.3122854533571121,4.484600000000003,85.63400000000001,302.78000000000003,0.0,2.0,0.0,0.0,0.0,2.0,1.0,3.0,2.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,108.0,9.467009378641833,5.817220841045895,0.0,0.0,0.0,0.0,0.0,4.39041504767482,0.0,0.0,11.600939890232516,62.626280513047256,28.33492820365072,5.516700717616262,3.0,4.39041504767482,22.503864822313574,0.0,9.467009378641833,0.0,6.544756405912575,14.09534396535438,65.06471869732856,0.0,5.687386274683562,0.0,4.39041504767482,0.0,11.600939890232516,23.562353343996215,6.544756405912575,5.817220841045895,5.693927994848461,48.53093654769288,5.022633313741326,16.590311206764618,0.0,8.17,15.314836651794172,6.0835358829193,2.1069879062736208,1.8044760959939536,3.1641717057193253,-0.22924471949273495,14.51618036309174,0.0,0.7953129724111867,4.054854252400549,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6921039385559477
DIGITOXIN,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@]5(C)[C@H]6CC[C@]7(C)[C@@H](C8=CC(=O)OC8)CC[C@]7(O)[C@@H]6CC[C@@H]5C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O,1.0,0.8263083726243681,1374.4176851913944,38.31889751952037,32.586747302049076,32.586747302049076,25.59002995379477,20.839304328012698,20.839304328012698,18.73758598866053,18.73758598866053,15.858280555705047,15.858280555705047,12.78275084225939,12.78275084225939,79.40682848872405,30.327174158275348,0.0,54.00152957559452,18.442694056835705,63.36049913640336,0.0,19.92349450621513,6.923737199690624,13.847474399381248,33.15804067660034,764.434692108,0.6851851851851852,1.2962962962962963,1.8888888888888888,0.926829268292683,-1.2300000000000002,54.0,700.4380000000002,980956654694.5042,39.58921701472958,14.857670767284963,6.822362772765654,318.5281908108477,12.55798028781437,0.457979662083263,12.55798028781437,0.3306609997810494,0.024309038660768056,0.3306609997810494,-0.9956860777097603,-0.457979662083263,3.2473000000000014,191.2209999999994,764.9500000000004,5.0,13.0,4.0,4.0,8.0,0.0,0.0,0.0,13.0,5.0,13.0,0.0,7.0,4.0,3.0,7.0,306.0,58.69067765080386,24.918781127757825,18.870080188005637,0.0,0.0,5.969305287951849,0.0,4.794537184071822,0.0,0.0,13.847474399381248,113.21832538951757,30.75347544500869,48.3288155252218,8.0,63.485214834875684,5.969305287951849,0.0,0.0,34.50160512343913,197.17934035003762,6.606881964512918,11.64912463690315,0.0,0.0,0.0,0.0,0.0,0.0,123.61961910314066,37.952577860672164,34.50160512343913,111.66854547356525,11.64912463690315,0.0,0.0,0.0,182.82999999999998,42.20219521597671,0.0,11.925133726549372,54.97889408054607,0.2152069022894776,1.1334969177362688,0.0,1.903737842838748,10.391335314063346,0.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18848157224383355
