Drug_ID,Drug,Y,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,ExactMolWt,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,FractionCSP3,HallKierAlpha,HeavyAtomCount,HeavyAtomMolWt,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,MaxAbsEStateIndex,MaxAbsPartialCharge,MaxEStateIndex,MaxPartialCharge,MinAbsEStateIndex,MinAbsPartialCharge,MinEStateIndex,MinPartialCharge,MolLogP,MolMR,MolWt,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRadicalElectrons,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumValenceElectrons,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,RingCount,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,qed
Acetanilide,CC(=O)Nc1ccccc1,1,2.6742416022951265,217.9590174505521,7.397341225498538,5.794999636411993,5.794999636411993,4.787693700234704,3.114807747754891,3.114807747754891,2.0472116216323366,2.0472116216323366,1.0941576719540291,1.0941576719540291,0.7247493182822928,0.7247493182822928,0.0,4.794537184071822,0.0,5.907179729351506,0.0,5.687386274683562,6.923737199690624,0.0,30.33183534230805,5.316788604006331,0.0,135.068413908,1.3,1.9,2.4,0.125,-1.31,10.0,126.09399999999998,195.6254620163014,6.805074798619103,3.011779444695785,1.89537540220571,59.87267163194198,10.50204081632653,0.3263390909376533,10.50204081632653,0.22074740345902855,0.035925925925925695,0.22074740345902855,-0.035925925925925695,-0.3263390909376533,1.6449999999999998,40.74570000000002,135.16599999999997,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,52.0,5.316788604006331,0.0,0.0,5.907179729351506,0.0,0.0,4.794537184071822,0.0,0.0,0.0,18.19910120538483,12.13273413692322,12.611123474374185,0.0,1.0,4.794537184071822,11.594566004035068,0.0,0.0,0.0,6.923737199690624,5.316788604006331,30.33183534230805,0.0,0.0,5.316788604006331,5.687386274683562,0.0,0.0,5.907179729351506,4.794537184071822,0.0,6.923737199690624,30.33183534230805,0.0,0.0,0.0,29.1,0.0,0.0,10.50204081632653,2.6658333333333335,0.8425925925925928,-0.035925925925925695,9.365736961451248,0.0,1.4930555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6227994751052723
Acetazolamide.mol,CC(=O)Nc1nnc(S(N)(=O)=O)s1,1,2.938691458826851,422.35246826398924,10.060477932315068,6.513018912508858,8.14601207436431,5.892865415757243,3.0327457701565326,5.395561829005821,2.0993176423790123,4.811973693691262,0.9328171861807086,3.0815095121098466,0.5258473654376647,1.9053602623835681,10.023291153407584,13.212334168400758,0.0,15.378393889864384,11.336785877934737,0.0,6.923737199690624,0.0,0.0,15.514152220608405,5.138973737607942,221.988132052,1.5384615384615385,2.1538461538461537,2.5384615384615383,0.25,-1.06,13.0,216.203,682.1272768088121,10.023752093802344,3.3584989230794076,2.7167362781176934,78.02145102207903,10.704977796674225,0.3007462541560122,10.704977796674225,0.2668537466795803,0.1078935185185188,0.2668537466795803,-3.824175170068027,-0.3007462541560122,-0.8561000000000003,45.58590000000001,222.251,3.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,2.0,9.0,0.0,2.0,0.0,0.0,0.0,72.0,5.316788604006331,0.0,0.0,15.378393889864384,10.023291153407584,0.0,4.794537184071822,13.556770721936878,0.0,10.197363616602075,11.336785877934737,0.0,6.923737199690624,0.0,1.0,13.212334168400758,32.39881524053316,0.0,10.197363616602075,5.138973737607942,11.263392880364169,5.316788604006331,0.0,0.0,0.0,10.455762341614273,5.131558479839333,0.0,11.336785877934737,24.522340330282518,14.817828337479405,0.0,6.923737199690624,4.339655680673546,0.0,0.0,0.0,115.03999999999999,21.087038926681785,0.7010185185185183,10.519172808012094,13.841021825396826,0.0,-0.34988945578231223,0.0,0.0,1.2758125472411188,-3.824175170068027,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6318586926732331
Aminopyrine,Cc1c(N(C)C)c(=N)n(-c2ccccc2)n1C,1,2.73026047273788,575.4571977159557,12.576985790260121,10.728392132448006,10.728392132448006,8.036581260209188,5.59675158002275,5.59675158002275,4.348010338686598,4.348010338686598,3.0121987870808553,3.0121987870808553,2.1318375503047,2.1318375503047,0.0,0.0,0.0,0.0,5.48770695145777,17.068700544215584,0.0,0.0,72.66210409117109,0.0,5.409283605791522,230.15314657599998,1.1176470588235294,1.7058823529411764,2.176470588235294,0.3076923076923077,-1.9699999999999995,17.0,212.171,7726.100858320041,11.513497683888872,4.125142550519024,1.7533355056803268,101.21065539617179,8.27659486016629,0.3731674002343947,8.27659486016629,0.1698854554119086,0.5150000000000003,0.1698854554119086,0.5150000000000003,-0.3731674002343947,1.6696900000000001,69.65870000000004,230.31500000000003,1.0,4.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0,1.0,4.0,0.0,2.0,0.0,0.0,0.0,90.0,4.899909730850478,5.687386274683562,5.48770695145777,0.0,0.0,0.0,10.091086540936708,4.681802935145185,0.0,0.0,18.19910120538483,19.056471336613843,21.143015948031568,11.381314269532023,2.0,0.0,5.687386274683562,5.409283605791522,9.36360587029037,7.04767198267719,6.923737199690624,18.99525369620486,41.51347028861428,0.0,5.687386274683562,10.387616682308249,5.687386274683562,0.0,0.0,23.45894983564475,7.04767198267719,12.333020805482146,5.693927994848461,30.33183534230805,0.0,5.687386274683562,0.0,36.95,3.9143518518518516,0.0,1.9832407407407406,8.27659486016629,3.567227891156464,0.0,9.975251322751323,0.0,2.034537037037037,5.9154629629629625,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8368447453235547
Amosulalol.mol,COc1ccccc1OCCNC[C@@H](O)c1ccc(C)cc1S(N)(=O)=O,1,1.8878720979697634,839.225139056495,19.156489770562878,14.805927814085551,15.622424395013278,12.324717068335383,8.105944691377918,9.652264169299478,5.805532508147034,7.335377450451036,3.7777549731961853,4.744359013871713,2.4832115247420252,3.3659826592572895,16.127257541155885,13.524324379169643,0.0,17.003691373127346,24.650662036993303,5.563451491696996,6.06636706846161,38.299003014814595,12.13273413692322,5.316788604006331,14.612699645208039,380.14059286799994,1.1923076923076923,1.8846153846153846,2.5384615384615383,0.3333333333333333,-2.1299999999999994,26.0,356.27400000000006,480336.03745498194,20.185205615238647,8.996215204344972,5.433601190555982,153.35000299618628,11.718339854401188,0.4928700212180387,11.718339854401188,0.23793063073541934,0.05826674092501993,0.23793063073541934,-3.906347340288312,-0.4928700212180387,1.3530200000000001,98.87070000000004,380.4660000000001,4.0,7.0,0.0,0.0,0.0,2.0,0.0,2.0,6.0,3.0,8.0,0.0,9.0,0.0,0.0,0.0,142.0,19.897041906447136,6.606881964512918,11.49902366656781,10.023291153407584,0.0,0.0,0.0,13.556770721936878,0.0,0.0,24.26546827384644,30.68628989677245,18.652964303522147,18.10924740454361,2.0,22.998050286769743,10.023291153407584,0.0,5.316788604006331,5.138973737607942,17.9231870629567,26.806192317615604,53.59147246262526,0.0,11.49902366656781,19.92948824921437,0.0,11.49902366656781,0.0,40.33051669678524,10.023291153407584,6.923737199690624,17.230869371142294,47.36005295474905,0.0,0.0,0.0,110.88,34.25987235356865,0.0,-0.05826674092501993,18.58519848916834,1.027212549631347,1.275350696507318,12.07607935791315,-1.0044570420760903,2.7578024313709637,-2.3354587618253286,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.5665374929749745
Bendroflumethiazide.mol,NS(=O)(=O)c1cc2c(cc1C(F)(F)F)N[C@H](Cc1ccccc1)NS2(=O)=O,1,2.108091332338603,1085.2804921773175,20.035169427003233,13.486642365704041,15.119635527559494,12.376976656146873,7.4862241634207916,10.515706888936744,5.895229329222742,9.107476512936262,3.89301521791716,6.355443510024703,2.7636473285512806,4.925702649526278,47.743074879125714,30.006839111682332,0.0,12.10820789760957,12.13273413692322,5.563451491696996,0.0,30.33183534230805,0.0,10.038883468458419,5.138973737607942,421.03778258799997,1.1111111111111112,1.7407407407407407,2.2962962962962963,0.2,-2.1499999999999995,27.0,407.3100000000002,566354.0364309468,19.607154895290407,6.476220048912472,4.076629873913515,153.0352655730593,13.272465839769232,0.41729938767766483,13.272465839769232,0.41729938767766483,0.1644842450869235,0.36752922297448476,-5.039635256593456,-0.36752922297448476,1.6254000000000004,90.6954,421.4220000000001,4.0,7.0,0.0,1.0,1.0,2.0,0.0,2.0,5.0,3.0,12.0,0.0,3.0,0.0,0.0,0.0,146.0,5.316788604006331,4.895483475517775,0.0,20.046582306815168,0.0,6.176298517443475,0.0,21.974567706265816,17.893340007476546,0.0,30.33183534230805,17.696185628620217,6.4208216229260096,22.31209685403286,3.0,30.006839111682332,25.73396858149873,0.0,4.722094864452088,5.138973737607942,28.55386270353956,5.316788604006331,53.59147246262526,0.0,0.0,15.17785720606636,18.858631417708022,0.0,0.0,23.001369580792403,32.64370244718465,0.0,11.126902983393991,52.255536430266815,0.0,0.0,0.0,118.35999999999999,90.07715528357002,0.0,-1.9247490260260811,7.5083437643667,-1.1392886931006965,0.0,9.573067107220124,-5.785968282859519,0.0,-9.058560153170543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6961649733786912
Biperiden.mol,O[C@](CCN1CCCCC1)(c1ccccc1)[C@@H]1C[C@H]2C=C[C@H]1C2,1,1.5462663910996903,548.2198140569956,15.700459844932896,14.031890913575106,14.031890913575106,11.254968188218728,9.441528718700322,9.441528718700322,7.829313535098743,7.829313535098743,6.423835948721811,6.423835948721811,5.111974042826674,5.111974042826674,5.601050810983688,5.106527394840706,0.0,0.0,17.75371813848418,24.94985114346159,38.77279930352918,0.0,0.0,47.38378528682629,0.0,311.224914548,1.0,1.7826086956521738,2.4347826086956523,0.6190476190476191,-1.12,23.0,282.237,465531.0617929604,15.410174419205754,6.410005257211886,2.9914488726431796,139.75250576507355,11.774541524943311,0.38480415822491926,11.774541524943311,0.09420863783463958,0.393232001133787,0.09420863783463958,-0.6638057445200298,-0.38480415822491926,3.9624000000000033,94.09080000000006,311.46900000000005,1.0,2.0,2.0,1.0,3.0,1.0,0.0,1.0,2.0,1.0,2.0,0.0,5.0,1.0,1.0,2.0,124.0,10.006437125691184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.90469717890182,68.51079055663637,6.544756405912575,5.601050810983688,4.0,5.106527394840706,0.0,0.0,4.899909730850478,17.75371813848418,44.125980548539744,19.634269217737724,48.04732704767281,0.0,0.0,0.0,0.0,0.0,0.0,29.64070634342891,5.601050810983688,17.75371813848418,44.08838122925306,42.483875555975814,0.0,0.0,0.0,23.47,0.0,0.0,2.556008597883598,11.774541524943311,0.4639344765684059,1.6726633755353988,10.45988753815729,12.0392535395701,3.450377614008567,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8320193452810374
Bornaprine,CCN(CC)CCCOC(=O)[C@@]1(c2ccccc2)C[C@@H]2CC[C@@H]1C2,1,1.6548244606615987,540.0295432347896,16.993353063746344,15.169123091433997,15.169123091433997,11.701873821042927,9.653973865512645,9.653973865512645,7.433858882586115,7.433858882586115,6.248232681282709,6.248232681282709,4.908552435821894,4.908552435821894,0.0,4.794537184071822,0.0,11.384295757348628,18.442694056835705,32.475912463589744,24.825916360475023,0.0,6.06636706846161,43.01285240407817,4.736862953800049,329.23547923200005,1.2083333333333333,1.9583333333333333,2.5416666666666665,0.6666666666666666,-1.35,24.0,298.236,511995.7473593141,17.47230332155244,7.689383736353432,3.234496307992807,145.92877352814165,13.10552453388763,0.46496083692831436,13.10552453388763,0.3163521533328399,0.028191609977324505,0.3163521533328399,-0.37561862244897926,-0.46496083692831436,4.019500000000003,96.93200000000007,329.4840000000002,0.0,3.0,2.0,0.0,2.0,1.0,0.0,1.0,3.0,0.0,3.0,0.0,8.0,2.0,0.0,2.0,132.0,9.636772684650527,0.0,0.0,0.0,0.0,5.969305287951849,4.794537184071822,0.0,0.0,0.0,50.60013136461531,56.172062887548975,6.544756405912575,12.021872433909698,3.0,9.53140013787187,5.969305287951849,0.0,4.899909730850478,11.835812092322787,51.36657298340809,26.241151182250643,35.89528683400505,0.0,0.0,0.0,0.0,0.0,0.0,37.110366201052976,14.94639060726865,11.835812092322787,51.5150340057083,30.33183534230805,0.0,0.0,0.0,29.54,5.810170068027211,0.0,15.478868286512137,0.0,0.796550742210465,1.2074624654345973,10.37797970037418,5.5644673895729095,8.014501347868501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5327884146229185
Budesonide.mol,CCC[C@@H]1O[C@@H]2C[C@@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1,1,1.5536140768455642,862.0735282455938,22.181433796945203,18.673320243867835,18.673320243867835,14.707527990726081,11.80697355342905,11.80697355342905,10.725167506633191,10.725167506633191,9.371349774061866,9.371349774061866,8.122912201539377,8.122912201539377,36.120882749725205,19.802129157825057,0.0,34.735198500610835,19.26246486877803,24.835569398847298,0.0,12.152040213667762,6.076020106833881,20.771211599071872,9.473725907600098,430.2355388079999,1.3225806451612903,2.096774193548387,2.806451612903226,0.76,-1.34,31.0,396.2690000000002,11435336.15109527,21.502813864413955,7.077732320442025,2.6509012112996055,183.22810210482677,13.22687894012186,0.392760680919268,13.22687894012186,0.19274502009059377,0.01252884332745463,0.19274502009059377,-1.2007990310321661,-0.392760680919268,2.7168000000000014,112.86660000000005,430.5410000000002,2.0,6.0,4.0,1.0,5.0,0.0,0.0,0.0,6.0,2.0,6.0,0.0,4.0,3.0,1.0,4.0,170.0,19.68678069728151,6.606881964512918,23.45756743304878,0.0,0.0,0.0,9.589074368143644,0.0,0.0,0.0,38.84115785890103,56.091960420620595,16.747886984954953,12.207932775496605,5.0,29.275855065425155,11.566489892729878,0.0,0.0,28.58369907727774,83.39515165244345,6.606881964512918,23.80116485057091,0.0,0.0,0.0,0.0,0.0,0.0,52.485436962739705,19.06280027574374,28.58369907727774,59.296141336627926,23.80116485057091,0.0,0.0,0.0,93.06,12.663810702885378,0.0,25.208902687328237,21.409031293408894,-1.0469771787655986,0.027438757376094358,0.0,8.313972413546814,5.673821324220179,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7124527920741569
Camazepam,CN(C)C(=O)O[C@@H]1N=C(c2ccccc2)c2cc(Cl)ccc2N(C)C1=O,1,2.1741490740343696,880.8530133020174,18.844570503761737,14.640502553607325,15.39643149962578,12.379917853109722,7.9687164086732345,8.346680881682461,6.033002982722349,6.469438763194334,3.988086974225287,4.223184077013024,2.6205330498040618,2.7926360737569293,18.22832097102479,9.589074368143644,0.0,0.0,21.985156082892587,5.563451491696996,9.799819461700956,39.342117153416396,30.33183534230805,4.992404732635669,16.337802844032566,371.103669116,1.1923076923076923,1.8846153846153846,2.5384615384615383,0.21052631578947367,-2.859999999999999,26.0,353.68000000000006,704848.7780546135,17.946842066290348,7.173048770621227,3.4107921608884832,156.192106455551,12.818040753338373,0.4136501716476427,12.818040753338373,0.4111752742968823,0.435459656084656,0.4111752742968823,-1.2812207105064253,-0.4136501716476427,3.1781000000000015,100.89900000000006,371.8240000000001,0.0,6.0,0.0,1.0,1.0,2.0,0.0,2.0,4.0,0.0,7.0,0.0,2.0,0.0,0.0,0.0,134.0,14.536682415501005,0.0,0.0,0.0,12.135080900086376,6.093240070938415,4.794537184071822,9.786941916707491,0.0,0.0,41.932775232540564,18.19910120538483,37.29255224516689,11.399071277454265,3.0,14.325937321943691,35.0004309679767,0.0,4.899909730850478,4.992404732635669,6.22790117073487,26.042925678882046,64.6804728448282,0.0,0.0,4.899909730850478,10.481923458755384,0.0,11.600939890232516,49.982931652677536,9.53140013787187,0.0,11.126902983393991,53.523341280328545,5.022633313741326,0.0,0.0,62.21000000000001,5.303927626606198,6.1786108660848615,31.964648945998153,0.5249688733518103,2.6766036785084415,-0.435459656084656,14.61031363728619,-1.9229797773018666,0.0,4.710476916661982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8140970679577941
Carbamazepine.mol,NC(=O)N1c2ccccc2C=Cc2ccccc21,1,2.305250789577583,596.9467906495954,12.535169427003234,9.706314847049708,9.706314847049708,8.770856947829097,5.729003813978893,5.729003813978893,4.124612648148249,4.124612648148249,3.018151561343786,3.018151561343786,2.2109625427574167,2.2109625427574167,6.031114512338072,4.794537184071822,0.0,0.0,0.0,22.501675532761116,0.0,4.899909730850478,60.68297676136064,0.0,5.733667477162185,236.094963004,0.8333333333333334,1.2777777777777777,1.7222222222222223,0.0,-2.549999999999999,18.0,224.17799999999994,20630.434890710927,10.59432558024975,4.035866968245452,1.5691552778201157,105.1491359502972,11.75297052154195,0.3508838374482669,11.75297052154195,0.32342219617413165,0.4735185185185171,0.32342219617413165,-0.4735185185185171,-0.3508838374482669,3.3872000000000018,73.53440000000003,236.274,2.0,3.0,0.0,1.0,1.0,2.0,0.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,88.0,5.733667477162185,0.0,0.0,0.0,0.0,6.031114512338072,4.899909730850478,4.794537184071822,0.0,0.0,48.55024262443742,23.259637120317212,0.0,11.374772549367124,3.0,4.794537184071822,29.557927275372958,0.0,0.0,5.733667477162185,0.0,4.899909730850478,59.65783953108687,0.0,0.0,10.633577208012664,16.169309733438947,0.0,0.0,6.031114512338072,0.0,0.0,11.126902983393991,48.53093654769288,0.0,12.152040213667762,0.0,46.330000000000005,0.0,0.0,13.299266817838246,0.0,9.106447467876041,0.0,14.93335978835979,3.994259259259259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7483634501218209
