Drug_ID,Drug,Y,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,ExactMolWt,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,FractionCSP3,HallKierAlpha,HeavyAtomCount,HeavyAtomMolWt,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,MaxAbsEStateIndex,MaxAbsPartialCharge,MaxEStateIndex,MaxPartialCharge,MinAbsEStateIndex,MinAbsPartialCharge,MinEStateIndex,MinPartialCharge,MolLogP,MolMR,MolWt,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRadicalElectrons,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumValenceElectrons,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,RingCount,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,qed
"3,5,7-Trihydroxy-3',4',5'-trimethoxyflavone",COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2O)cc(OC)c1OC,1,2.3570099833823255,1026.2160535526039,19.007707210578268,14.192283315577695,14.192283315577695,12.404615863015035,7.42971121279162,7.42971121279162,5.360964090001835,5.360964090001835,3.862269166764612,3.862269166764612,2.68296635904691,2.68296635904691,16.92781405846835,20.11411936859394,0.0,28.042455099962382,17.248535499851716,12.13273413692322,33.46212676075582,0.0,0.0,0.0,18.627739798453494,360.08451747199996,0.8846153846153846,1.5,2.0384615384615383,0.16666666666666666,-3.5500000000000003,26.0,344.1900000000001,641129.6891607579,17.27878542662501,6.396026834176765,2.6093765520637544,146.95466406964755,12.447748015873016,0.5076781655726541,12.447748015873016,0.23828860248890363,0.08884099164357084,0.23828860248890363,-0.8402761768287561,-0.5076781655726541,2.6026000000000007,92.57040000000002,360.3180000000001,3.0,8.0,0.0,0.0,0.0,2.0,1.0,3.0,8.0,3.0,8.0,0.0,4.0,0.0,0.0,0.0,136.0,33.94732198297561,22.46826802267485,17.25927108544225,16.92781405846835,0.0,0.0,4.794537184071822,0.0,0.0,0.0,0.0,12.13273413692322,17.696185628620217,21.3293926238326,3.0,33.94732198297561,10.969244356107037,0.0,0.0,0.0,0.0,21.3293926238326,34.48879584981881,0.0,45.82076991027486,19.63937925330069,0.0,34.49707099970343,0.0,36.648974808354716,0.0,0.0,0.0,33.47715639497161,0.0,22.292943266678478,0.0,118.59000000000002,21.306064879451423,0.0,12.447748015873016,29.552431401254,-0.6524202674897113,-0.7482791262102211,5.135767620893883,0.0,0.0,4.292020809560944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6495944582933124
"3,6,3',4'-Tetramethoxyflavone",COc1ccc2oc(-c3ccc(OC)c(OC)c3)c(OC)c(=O)c2c1,1,2.2736952398265196,973.5456405282714,17.974327015758657,14.413591357920936,14.413591357920936,12.121253460429903,7.537929921904144,7.537929921904144,5.225411063752833,5.225411063752833,3.905686728068085,3.905686728068085,2.6371198093249277,2.6371198093249277,0.0,4.794537184071822,0.0,11.178302225184446,39.54147876653019,0.0,14.219595082555067,50.61779749332473,0.0,0.0,23.364602752253543,342.11033829599995,0.8,1.56,2.2,0.21052631578947367,-3.15,25.0,324.2030000000001,539275.3291813035,16.698858826786914,6.764279068522815,2.865146636965104,144.0504501569629,12.80287501574704,0.49673856057838595,12.80287501574704,0.23487968023909367,0.11849348072562393,0.23487968023909367,-0.27089361824976876,-0.49673856057838595,3.4944000000000015,94.12800000000006,342.3470000000001,0.0,6.0,0.0,0.0,0.0,2.0,1.0,3.0,6.0,0.0,6.0,0.0,5.0,0.0,0.0,0.0,130.0,23.364602752253543,11.332531974926148,17.25927108544225,11.178302225184446,0.0,0.0,4.794537184071822,0.0,0.0,0.0,0.0,36.39820241076966,5.563451491696996,33.82541437957493,3.0,23.364602752253543,10.969244356107037,0.0,0.0,0.0,0.0,28.439190165110134,46.62152998674202,0.0,34.321746243707054,24.376242207100738,0.0,22.99804733313562,0.0,28.439190165110134,0.0,0.0,0.0,45.60989053189483,0.0,22.292943266678478,0.0,67.13,26.997466331420465,0.0,12.80287501574704,0.3892839558662975,0.8130905927185692,2.1226220720917697,10.301365189594357,0.0,0.0,6.073296842561501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7069335509254062
"5,6,7,3',4'-Pentamethoxyflavone",COc1ccc(-c2cc(=O)c3c(OC)c(OC)c(OC)cc3o2)cc1OC,1,2.275467194753787,1036.6601656943606,19.551677284948283,15.744489379195173,15.744489379195173,13.069941865413645,8.066969024266605,8.066969024266605,5.563123546393302,5.563123546393302,4.190392459557378,4.190392459557378,2.91850244570639,2.91850244570639,0.0,4.794537184071822,0.0,16.564526439649242,39.9047663853493,0.0,27.39575969229421,38.485063356401504,0.0,0.0,28.10146570605359,372.12090298,0.7037037037037037,1.3703703703703705,1.962962962962963,0.25,-3.35,27.0,352.21300000000014,1311199.923515827,18.441354604835674,7.489521065803188,3.1187314584074994,155.52893750086648,12.805623031620055,0.4928695253624767,12.805623031620055,0.20384129540047108,0.2633902512897828,0.20384129540047108,-0.2649648578567225,-0.4928695253624767,3.503000000000003,100.68000000000005,372.3730000000001,0.0,7.0,0.0,0.0,0.0,2.0,1.0,3.0,7.0,0.0,7.0,0.0,6.0,0.0,0.0,0.0,142.0,28.10146570605359,16.729491774981483,28.426837725036158,5.749511833283905,0.0,0.0,4.794537184071822,0.0,0.0,0.0,0.0,18.19910120538483,17.696185628620217,35.54898770638766,3.0,28.10146570605359,10.969244356107037,0.0,0.0,0.0,0.0,35.54898770638766,40.555162918280416,0.0,40.07125807699096,29.113105160900787,0.0,28.747559166419524,0.0,35.54898770638766,0.0,0.0,0.0,39.54352346343322,0.0,22.292943266678478,0.0,76.36000000000001,32.585382872284335,0.0,12.805623031620055,0.27720062253296374,0.7231709026203079,2.4818653439847544,8.262187080078945,0.0,0.0,7.531236813545303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.655288833027249
"5,6,7,3',4',5'-Hexamethoxyflavone",COc1cc(-c2cc(=O)c3c(OC)c(OC)c(OC)cc3o2)cc(OC)c1OC,1,2.316625127696637,1075.0070090017712,21.12902755413791,17.075387400469406,17.075387400469406,14.01863027039739,8.596008126629068,8.596008126629068,5.907376070821238,5.907376070821238,4.47157961715672,4.47157961715672,3.1523576517569905,3.1523576517569905,0.0,4.794537184071822,0.0,22.147546581291486,40.07125807699096,0.0,48.72515231612681,18.19910120538483,0.0,0.0,32.838328659853644,402.13146766399996,0.6206896551724138,1.1379310344827587,1.6206896551724137,0.2857142857142857,-3.5500000000000003,29.0,380.2230000000002,3243140.068934052,20.19113888142375,8.217269026908342,3.3722436359232955,167.00742484477,12.928841647770218,0.4926899456749684,12.928841647770218,0.20384129540047158,0.2426315064338156,0.20384129540047158,-0.29832889791719097,-0.4926899456749684,3.5116000000000023,107.23200000000004,402.39900000000017,0.0,8.0,0.0,0.0,0.0,2.0,1.0,3.0,8.0,0.0,8.0,0.0,7.0,0.0,0.0,0.0,154.0,32.838328659853644,16.729491774981483,28.426837725036158,11.49902366656781,0.0,0.0,4.794537184071822,0.0,0.0,0.0,0.0,12.13273413692322,17.696185628620217,42.65878524766519,3.0,32.838328659853644,10.969244356107037,0.0,0.0,0.0,0.0,42.65878524766519,34.4887958498188,0.0,45.82076991027486,33.849968114700836,0.0,34.49707099970343,0.0,42.65878524766519,0.0,0.0,0.0,33.47715639497161,0.0,22.292943266678478,0.0,85.59000000000002,38.216213009142166,0.0,12.928841647770218,0.2512422839506172,0.5655631928697415,2.568873023854989,6.35111961451247,0.0,0.0,8.951480561233133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5935296943511097
"7,3',4'-Trimethoxyflavone",COc1ccc2c(=O)cc(-c3ccc(OC)c(OC)c3)oc2c1,1,2.177965917317669,910.919275006578,16.396976746569035,13.082693336646697,13.082693336646697,11.155728303040549,7.002907755397976,7.002907755397976,4.906753590344773,4.906753590344773,3.604399496299075,3.604399496299075,2.3941276188039042,2.3941276188039042,0.0,4.794537184071822,0.0,5.428790391900541,33.978027274833195,5.563451491696996,6.06636706846161,51.66122796614064,6.06636706846161,0.0,18.627739798453494,312.099773612,0.8260869565217391,1.608695652173913,2.3043478260869565,0.16666666666666666,-2.9499999999999997,23.0,296.19300000000004,208782.27560977364,14.965359341015319,6.042175350040524,2.7286897281476623,132.57196281305946,12.293304437515747,0.49662359443405985,12.293304437515747,0.1928210129671443,0.11232596896783376,0.1928210129671443,-0.11232596896783376,-0.49662359443405985,3.485800000000003,87.57600000000004,312.321,0.0,5.0,0.0,0.0,0.0,2.0,1.0,3.0,5.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,118.0,18.627739798453494,17.09277939380059,16.92781405846835,0.0,0.0,0.0,4.794537184071822,0.0,0.0,0.0,0.0,30.33183534230805,17.696185628620217,26.715616838297397,3.0,18.627739798453494,10.969244356107037,0.0,0.0,0.0,0.0,21.3293926238326,52.68789705520363,0.0,28.57223441042315,19.63937925330069,0.0,17.248535499851716,0.0,21.3293926238326,0.0,0.0,0.0,51.67625760035644,0.0,22.292943266678478,0.0,57.900000000000006,21.54902524263455,0.0,12.293304437515747,0.5092839558662974,1.0877710590409007,2.2650565691790447,11.933977891113082,0.0,0.0,4.694914177983712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7378827751976016
Carvedilol,COc1ccccc1OCCNC[C@H](O)COc1cccc2[nH]c3ccccc3c12,1,1.2575379884643594,1108.7174439193616,20.760937777247957,16.92858882191325,16.92858882191325,14.758351493073064,10.028490721446264,10.028490721446264,7.0175659059894056,7.0175659059894056,4.90863157687766,4.90863157687766,3.4733748085713096,3.4733748085713096,6.103966387748303,5.106527394840706,0.0,6.606881964512918,31.19541844290588,27.555361697446024,0.0,7.109797541277533,60.6636706846161,16.36713419341515,14.210588861400147,406.189257312,0.8666666666666667,1.6,2.466666666666667,0.25,-3.2199999999999993,30.0,380.27400000000017,11337344.208505128,20.069059099616123,9.518994463287138,4.503684746753271,174.93537112075003,10.288871250686277,0.49287002121803875,10.288871250686277,0.1607126398147067,0.2073268910155639,0.1607126398147067,-0.628033772150836,-0.49287002121803875,3.738000000000002,118.66520000000004,406.482,3.0,6.0,0.0,0.0,0.0,3.0,1.0,4.0,5.0,3.0,6.0,0.0,10.0,0.0,0.0,0.0,156.0,29.617883381194392,25.067242150058043,11.49902366656781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.39820241076966,30.33183534230805,29.378661958371005,12.626498258893795,4.0,19.31711625624085,21.805849864162116,0.0,10.30076712495354,0.0,6.103966387748303,33.41307428212852,66.73003775307771,0.0,17.248535499851716,19.527377465406477,0.0,17.248535499851716,0.0,49.607546585664736,0.0,0.0,0.0,66.73003775307771,0.0,21.805849864162116,0.0,75.74000000000001,16.923660609313117,0.0,3.398281053806934,15.633087683505185,2.0931623701130935,2.1790765398261898,21.57988292641224,-0.628033772150836,1.7022495404545304,1.6186330487195506,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.3499607634429391
Ciprofloxacin,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,0,1.948598124702446,882.7602568968719,16.844570503761737,13.088143604314618,13.088143604314618,11.558550648063802,8.13388326683475,8.13388326683475,6.373312034026569,6.373312034026569,4.729110360732636,4.729110360732636,3.3138575734326077,3.3138575734326077,17.215316520898284,19.08601681065917,0.0,16.991516535309753,24.293599804124977,25.93115605767717,12.263210640074686,6.06636706846161,9.467009378641833,5.316788604006331,0.0,331.13321965599994,1.25,1.9583333333333333,2.5833333333333335,0.4117647058823529,-2.41,24.0,313.2030000000001,672746.5705685621,15.137295119421712,5.592172599010578,2.4478616810646066,137.04307093590964,14.607685185185183,0.4774970228339016,14.607685185185183,0.3407230786793809,0.1372078136810284,0.3407230786793809,-1.2751022303881248,-0.4774970228339016,1.5833,88.47900000000006,331.34700000000004,2.0,6.0,1.0,1.0,2.0,1.0,1.0,2.0,5.0,2.0,7.0,0.0,3.0,1.0,1.0,2.0,126.0,19.890325377488868,11.38067233274289,0.0,5.428790391900541,0.0,5.969305287951849,4.794537184071822,9.184952231746642,0.0,0.0,0.0,24.974377382775238,43.80393423887614,11.204086992299825,4.0,14.291479626587348,22.55961649471647,0.0,9.883888251797686,0.0,18.88348407499998,31.078935354500782,39.933577617251544,0.0,0.0,15.64548872675735,10.077801322358383,0.0,0.0,41.82195795423421,0.0,5.817220841045895,29.241472750768796,23.124114892608116,0.0,10.902924932081056,0.0,74.57,16.43241047808012,0.0,25.714565710964518,12.6196285019594,0.15943609851348062,-1.755300643086537,3.07809812505249,3.290533509700176,2.9606282188163506,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8932298763507215
Cyclophosphamide,O=P1(N(CCCl)CCCl)NCCCO1,0,2.5822640284816734,201.8664756744443,10.441311299868556,7.91660018625193,10.322885269288754,6.726492059082182,4.597961710466701,7.244517016956578,2.9469275437115807,5.883786772984459,1.9566243352797223,4.5951889486174045,1.278310390784733,3.920544174917886,7.670279738874966,4.565048284931329,0.0,0.0,31.456401666278747,12.965578028838586,0.0,4.6704161899212995,0.0,5.0872950630771525,27.72562694217685,260.02481971000003,1.3571428571428572,2.0,2.4285714285714284,1.0,0.69,14.0,245.969,1442.8330626105126,12.758073519400952,6.311144001092418,3.36838444118429,94.44153500749829,12.188549382716051,0.3429836890948602,12.188549382716051,0.3429836890948602,0.4225385802469137,0.30596634526037897,-2.842183641975309,-0.30596634526037897,1.884,59.19120000000003,261.089,1.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,7.0,0.0,5.0,0.0,1.0,1.0,84.0,4.5237471617118175,0.0,0.0,0.0,0.0,7.670279738874966,4.565048284931329,9.757711252998451,0.0,23.20187978046503,0.0,6.4208216229260096,31.394276107678404,6.606881964512918,1.0,9.088795446643147,30.872159519339995,0.0,9.757711252998451,0.0,6.4208216229260096,38.00115807219132,0.0,0.0,0.0,5.0872950630771525,0.0,0.0,30.872159519339995,42.671574262112614,9.088795446643147,0.0,6.4208216229260096,0.0,0.0,0.0,0.0,41.57000000000001,19.174876543209876,11.248020754598135,0.0,2.9071604938271607,0.0,0.8450771604938274,0.0,0.8884722222222223,2.3063542454018644,-2.842183641975309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6057206690801091
Dextromethorphan,COc1ccc2c(c1)[C@@]13CCCC[C@H]1[C@@H](C2)N(C)CC3,0,1.8780647132723423,526.1495492966151,13.742276208189782,12.691960700217786,12.691960700217786,9.743148714927115,8.121211779308032,8.121211779308032,7.033571181087184,7.033571181087184,6.321522648404249,6.321522648404249,5.302821601134525,5.302821601134525,0.0,0.0,0.0,0.0,5.41499046939678,17.70925870859326,45.06968614346863,18.236700524671523,0.0,30.1466829189125,4.736862953800049,271.19361442,1.25,2.15,3.0,0.6666666666666666,-1.02,20.0,246.20399999999995,65310.911830214165,12.700482099286223,4.489710209343101,1.604791759224291,121.66659393137884,5.50505787037037,0.49675723324924786,5.50505787037037,0.11867464269826293,0.45590277777777766,0.11867464269826293,0.45590277777777766,-0.49675723324924786,3.3834000000000026,81.36900000000006,271.404,0.0,2.0,2.0,1.0,3.0,1.0,0.0,1.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,2.0,108.0,9.636772684650527,5.749511833283905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.90801031431363,68.4532580467724,11.45683129854474,7.109797541277533,4.0,4.736862953800049,0.0,0.0,4.899909730850478,5.917906046161393,49.98176103610081,20.7022259298673,29.32600418877882,0.0,5.749511833283905,4.736862953800049,0.0,5.749511833283905,0.0,31.64397648986574,11.83581209232279,5.917906046161393,43.23101109802404,18.19910120538483,0.0,0.0,0.0,12.47,5.50505787037037,0.0,2.626397628495843,0.0,3.6701620370370374,1.9115117157974302,7.598276880196522,8.222769668052406,1.2617226473922902,4.120768219324767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7761322150181271
Fluphenazine,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,1,1.4716669756319085,868.9465296058855,21.13961743368832,16.736409006497684,17.55290558742541,14.452839606072642,10.267614864514572,11.084111445442302,7.662129442642924,8.745906399129748,5.690228343461198,6.820496722295124,4.076894871954746,5.153001693317485,11.73975000914047,13.171245143024459,0.0,6.606881964512918,18.776899086508713,54.62295687820799,23.894619086314336,6.06636706846161,29.165378004696915,9.799819461700956,5.106527394840706,437.17486811199996,0.8333333333333334,1.5,2.2,0.45454545454545453,-1.7400000000000002,30.0,411.32300000000015,6669991.190941506,21.490469973217014,9.176692848839785,4.771315334849235,178.81970715941875,13.310634033813772,0.41598698505793,13.310634033813772,0.41598698505793,0.18621395855411826,0.3950445544207227,-4.350619198027572,-0.3950445544207227,4.308100000000003,113.59780000000006,437.5310000000002,1.0,4.0,0.0,2.0,2.0,2.0,0.0,2.0,5.0,1.0,8.0,0.0,6.0,0.0,1.0,1.0,162.0,14.906346856541662,0.0,0.0,0.0,0.0,6.176298517443475,4.899909730850478,0.0,13.171245143024459,0.0,23.894619086314336,43.29741337114663,49.05950538651099,23.545106005577036,4.0,18.277772537865165,23.13665749875824,0.0,9.799819461700956,0.0,22.388087091405033,57.32008653675142,48.02802097092827,0.0,0.0,4.899909730850478,24.546017692391583,0.0,11.761884949391115,67.3265236624426,6.176298517443475,0.0,11.984273114623004,52.25553643026682,0.0,0.0,0.0,29.950000000000003,39.93190210144132,1.5265755705177044,8.62007862324459,9.067184077831556,1.0089037522927942,0.0,11.949812391565741,-3.4808905982543297,6.293100748027296,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7278115473639666
