Drug_ID,Drug,Y,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,ExactMolWt,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,FractionCSP3,HallKierAlpha,HeavyAtomCount,HeavyAtomMolWt,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,MaxAbsEStateIndex,MaxAbsPartialCharge,MaxEStateIndex,MaxPartialCharge,MinAbsEStateIndex,MinAbsPartialCharge,MinEStateIndex,MinPartialCharge,MolLogP,MolMR,MolWt,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRadicalElectrons,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumValenceElectrons,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,RingCount,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,qed
Cannabinol,CCCCCc1cc(O)c2c(c1)OC(C)(C)c1ccc(C)cc1-2,16.98,2.087947493249219,728.8616955236905,16.61251969619286,14.570640356658142,14.570640356658142,10.919852082725852,8.585249670085501,8.585249670085501,7.106598595441451,7.106598595441451,4.668301659638514,4.668301659638514,3.450689544019024,3.450689544019024,0.0,5.106527394840706,0.0,5.601050810983688,5.749511833283905,40.8449610459239,18.405094737549014,0.0,6.06636706846161,51.96041707260894,4.736862953800049,310.193280072,1.0869565217391304,1.8695652173913044,2.608695652173913,0.42857142857142855,-1.9599999999999995,23.0,284.229,138339.5578906348,15.917549913194444,5.917025082879839,2.9473801714563375,138.67492418330414,10.621581081506678,0.5071546561245766,10.621581081506678,0.13198575939386362,0.32995228647014363,0.13198575939386362,-0.3844095253842277,-0.5071546561245766,5.727820000000007,95.16280000000006,310.437,1.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,2.0,1.0,2.0,0.0,4.0,0.0,0.0,0.0,122.0,9.843390348640755,17.100074477551498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.52793314262447,56.872491965241096,5.563451491696996,5.563451491696996,3.0,9.843390348640755,0.0,0.0,0.0,0.0,58.979286101450214,0.0,47.02218981739904,0.0,22.6259266499618,4.736862953800049,0.0,11.49902366656781,0.0,5.106527394840706,12.021872433909698,6.923737199690624,56.724030942940885,30.33183534230805,0.0,11.126902983393991,0.0,29.46,6.253419312169313,0.0,0.0,10.621581081506678,5.0194637045270625,1.1351360544217686,10.377226575432744,4.547905750129099,8.461934188480004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7309131417504726
Carocainide,CNC(=O)Nc1c(OCCN2CCCC2)c(OC)c2occc2c1OC,0.8,1.9759635712065413,767.7626046842599,18.518297090128677,15.385796273317814,15.385796273317814,12.689401807851764,8.682186468056372,8.682186468056372,6.035353991786471,6.035353991786471,4.502872150546769,4.502872150546769,3.2260640724665732,3.2260640724665732,0.0,4.794537184071822,0.0,6.031114512338072,40.51204809515523,19.634269217737724,19.951440787129552,26.48699958805539,0.0,15.53348693886314,18.627739798453494,363.17942089999997,1.1923076923076923,1.9230769230769231,2.576923076923077,0.5,-2.61,26.0,338.2140000000001,1255744.5672055401,18.18917524506629,8.179269865091047,3.502325606646408,151.91270273172975,11.952685199500674,0.4936383041646336,11.952685199500674,0.3186875624317217,0.3772306731334505,0.3186875624317217,-0.3772306731334505,-0.4936383041646336,2.6759000000000013,98.56540000000005,363.41400000000004,2.0,8.0,0.0,1.0,1.0,1.0,1.0,2.0,6.0,2.0,8.0,0.0,7.0,0.0,1.0,1.0,142.0,29.261317006466154,12.29426823919648,17.082043808210052,5.749511833283905,0.0,6.031114512338072,4.899909730850478,4.794537184071822,0.0,0.0,0.0,31.99752312613878,13.592428388589765,25.86898229265892,3.0,23.422276982525315,22.687745143128673,0.0,10.216698334856808,0.0,12.841643245852019,52.82520685148923,12.329530064100666,0.0,17.248535499851716,24.844166069412807,10.481923458755384,17.248535499851716,0.0,58.43944249067144,0.0,0.0,12.841643245852019,16.746681001154013,0.0,10.969244356107037,0.0,85.2,22.671782879818593,0.0,14.300883265764217,6.014985295822236,0.9324084047199128,1.2940226337448568,1.3863888066832695,3.9914094645867735,3.4484076890755277,4.626378226451278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7866905113320269
CGP31608,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(CN)S[C@H]12,0.23,2.286860158917313,392.9702240435616,12.033015715890103,8.582893515836515,9.399390096764241,7.485269665192932,4.829786620343812,5.709439431598708,3.764100991379754,4.975586569255816,2.7599965732460587,4.150058335567066,1.9975021439260454,3.4876622397881825,17.991177721861547,14.69560176298435,0.0,23.52284826128865,4.905136513890047,0.0,23.58553187993222,0.0,0.0,0.0,10.84019487200289,244.051777864,1.6875,2.3125,2.75,0.5555555555555556,-1.0499999999999998,16.0,232.176,3701.957981048707,11.435844282190622,3.758137316717603,1.354492777241673,96.09186870082057,11.675298563869994,0.47653832608649166,11.675298563869994,0.3530306630310426,0.0283333333333331,0.3530306630310426,-1.1455158730158728,-0.47653832608649166,-0.8465999999999996,57.112000000000016,244.272,4.0,6.0,0.0,2.0,2.0,0.0,0.0,0.0,5.0,3.0,7.0,0.0,3.0,0.0,1.0,1.0,88.0,15.946722266843597,11.070912126024574,0.0,5.907179729351506,0.0,5.969305287951849,9.694446914922299,4.794537184071822,0.0,11.761884949391115,0.0,6.923737199690624,11.449892919802622,12.021872433909696,2.0,19.802129157825057,23.63836996669447,0.0,4.899909730850478,11.651573523323577,18.401576400407667,6.544756405912575,10.60217582694588,0.0,0.0,5.733667477162185,0.0,0.0,11.761884949391115,45.01204514446486,9.589074368143644,5.917906046161393,6.923737199690624,10.60217582694588,0.0,0.0,0.0,103.86,0.0,1.2559259259259257,24.384278155706728,18.103588907785337,5.410373204837491,-2.009636243386243,0.0,-0.7699820483749062,1.625452097505669,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.558812932327212
Cimetropium,C[N+]1(CC2CC2)[C@H]2C[C@H](OC(=O)[C@H](CO)c3ccccc3)C[C@@H]1[C@H]1O[C@@H]21,1.12,1.2717734657424076,670.5113096987566,17.888540578131753,15.290015979786306,15.290015979786306,12.597503443319825,9.965442174101858,9.965442174101858,8.848947619616085,8.848947619616085,7.1443236058772355,7.1443236058772355,5.528921675226901,5.528921675226901,5.917906046161393,9.901064578912528,0.0,18.68015364021307,24.291614433792525,28.80603164140503,19.386399651764595,0.0,30.33183534230805,7.04767198267719,9.473725907600098,358.20128479608996,1.2307692307692308,1.8846153846153846,2.4615384615384617,0.6666666666666666,-1.4299999999999997,26.0,330.23400000000004,2391634.782859028,16.722601504768974,6.0441805991075,2.682251762443516,154.03486168938144,12.699981523473589,0.46134179614055415,12.699981523473589,0.3155558947846862,0.044383975812547716,0.3155558947846862,-0.5889800642479219,-0.46134179614055415,1.8428999999999995,95.39520000000006,358.4580000000001,1.0,5.0,1.0,3.0,4.0,1.0,0.0,1.0,4.0,1.0,5.0,0.0,6.0,1.0,3.0,4.0,140.0,19.063284160135428,36.313486867702224,0.0,0.0,0.0,5.969305287951849,4.794537184071822,0.0,0.0,0.0,30.33183534230805,18.405094737549014,18.75954929201341,20.199310353102682,5.0,23.857821344207252,5.969305287951849,0.0,0.0,5.917906046161393,61.99677335940625,20.199310353102682,35.89528683400505,0.0,0.0,0.0,0.0,0.0,0.0,66.15375471513069,14.268263091671919,5.917906046161393,37.164644029562425,30.33183534230805,0.0,0.0,0.0,59.06,12.931542650054105,0.0,12.699981523473589,9.710025878936413,0.8188101087925227,0.0030922321938944286,10.351099138483976,5.217994445950585,1.0435345314791564,2.390586157302427,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47894025075541385
3-O-demethylfortimicin A,C[C@@H](N)[C@H]1CC[C@@H](N)[C@@H](O[C@@H]2[C@@H](N)[C@@H](O)[C@@H](O)[C@@H](N(C)C(=O)CN)[C@H]2O)O1,0.27,2.191711698190971,511.69252951973226,20.46373713620825,15.717823365605831,15.717823365605831,12.594330570473556,9.172864336893735,9.172864336893735,7.4924330791147735,7.4924330791147735,5.495983789731156,5.495983789731156,3.6964718157044802,3.6964718157044802,54.738594497123806,20.11411936859394,0.0,18.69056362280884,12.841643245852019,4.899909730850478,7.04767198267719,0.0,6.923737199690624,0.0,32.40839581624884,391.24308377599993,1.2222222222222223,1.8518518518518519,2.4074074074074074,0.9375,-0.8900000000000001,27.0,358.2050000000001,626490.0566142936,22.399651529671115,9.072684517352897,4.580274809648894,158.09243071062,11.923447478113784,0.3886094382674405,11.923447478113784,0.23598186772076424,0.23423817297554694,0.23598186772076424,-1.4647128002435543,-0.3886094382674405,-4.239499999999992,96.00100000000002,391.4690000000002,11.0,11.0,1.0,1.0,2.0,0.0,0.0,0.0,10.0,7.0,11.0,0.0,5.0,1.0,1.0,2.0,158.0,52.62788773162143,18.31189916324491,6.290026729335213,5.907179729351506,0.0,0.0,4.794537184071822,0.0,0.0,0.0,0.0,19.765380445542643,13.08951281182515,36.87821166885306,2.0,29.587845276194038,5.907179729351506,0.0,4.899909730850478,22.93466990864874,80.74260243021119,13.592428388589765,0.0,0.0,0.0,22.93466990864874,0.0,0.0,0.0,100.69632201798244,14.268263091671919,0.0,19.765380445542643,0.0,0.0,0.0,0.0,203.54,11.646275982615268,0.0,13.013934245351544,31.40951132229496,23.302259752262216,-0.511889101842655,-2.9617887472175903,-5.271308454485767,1.4961185249873645,1.3768864760346542,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24031753500874692
CPW 86-363,Cn1nnnc1SCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N/OCC(=O)O)c3cc[nH]n3)[C@H]2SC1,0.22,1.4803017198148058,1226.3379478589302,25.112155217263343,17.81338181306481,19.446374974920264,16.773764703227073,9.754823617997339,11.789176967631484,7.058540364383348,9.106031510825028,4.795472499500913,7.231977876175079,3.2478796285636373,5.582801308947326,41.775565641236334,24.28467613112799,0.0,22.855505917421784,16.482394618636764,4.899909730850478,40.4687834740021,7.04767198267719,0.0,41.03290553070635,5.106527394840706,523.069235884,1.4,2.2,2.8285714285714287,0.35294117647058826,-3.93,35.0,506.3770000000003,72907355.94712213,24.20270137648028,10.13603983901268,4.966373082083381,203.665556023457,12.877874959786485,0.4786463774807209,12.877874959786485,0.3521585022149329,0.06621365167974869,0.3521585022149329,-1.2950502432010704,-0.4786463774807209,-1.730599999999997,117.91900000000001,523.5130000000001,4.0,16.0,0.0,2.0,2.0,0.0,2.0,2.0,13.0,4.0,18.0,0.0,10.0,0.0,1.0,1.0,184.0,20.367431977424374,22.806680950020997,5.711685002770702,11.763318446333624,11.814359458703011,11.938610575903699,19.587665907295158,14.270877303288827,5.098681808301038,16.860566757692155,16.917597676141654,22.066241789840614,24.750222767783846,0.0,4.0,34.22879210970533,52.98842493615964,0.0,40.62131688621484,12.20338470942773,16.572150123937405,18.112589178006495,29.22728247804825,0.0,0.0,5.316788604006331,0.0,0.0,23.52376989878223,104.51054092939054,31.063409302701107,0.0,5.693927994848461,33.84550369177103,0.0,0.0,0.0,217.88,1.4478750034910284,2.5318509605425117,54.18743559767544,41.827037115765215,0.10002524750571995,-3.4354375673603865,0.3859931864315327,1.4197542388372737,-0.7839551629812846,1.6527547134262799,2.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,2.0,2.0,4.0,2.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.11786279328023766
Glyceryl 1-nitrate,O=[N+]([O-])OC[C@H](O)CO,0.76,3.161595073135587,94.2038970536883,7.276020881938894,4.5579494894541845,4.5579494894541845,4.163902460147014,2.227320928791704,2.227320928791704,1.355770601390205,1.355770601390205,0.5830806870030432,0.5830806870030432,0.1996006506172978,0.1996006506172978,24.404349359706682,10.114318268765572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8375885837366335,10.213054789681411,137.032422324,1.7777777777777777,2.3333333333333335,2.6666666666666665,1.0,-0.8800000000000001,9.0,130.035,78.51304536092788,8.119999999999996,4.044555315586401,4.983300440001707,50.77816221249944,9.410269274376416,0.39361453035049954,9.410269274376416,0.29409247959686563,0.48263888888888884,0.29409247959686563,-1.1709259259259264,-0.39361453035049954,-1.4521,26.03899999999999,137.091,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,6.0,0.0,4.0,0.0,0.0,0.0,54.0,15.050643373418046,12.71084835226122,0.0,0.0,5.086619042932543,0.0,0.0,0.0,0.0,10.114318268765572,0.0,0.0,0.0,6.606881964512918,0.0,20.137262416350588,0.0,0.0,0.0,0.0,6.103966387748303,13.213763929025836,10.114318268765572,0.0,0.0,0.0,0.0,0.0,0.0,34.61740414938809,4.8375885837366335,10.114318268765572,0.0,0.0,0.0,0.0,0.0,92.83000000000001,0.0,0.0,13.116982237339379,24.903804799697653,0.0,0.0,0.0,-1.1709259259259264,-1.0165277777777777,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36486804364135006
Edoxaban,CN1CCc2nc(C(=O)N[C@@H]3C[C@@H](C(=O)N(C)C)CC[C@@H]3NC(=O)C(=O)Nc3ccc(Cl)cn3)sc2C1,1.53,1.4533164311590494,1186.2602192438055,26.68950548645297,20.91480260958542,22.4872281365316,17.60026454372199,12.029266924454376,13.223727978391329,9.595003078372105,11.11506061496975,6.564839231274468,7.869572805641272,4.5994859085518955,5.802582372724372,23.898041116998932,19.178148736287287,0.0,23.550128282699433,29.29272187937212,30.081409623300924,28.4999062488599,20.16171103381599,7.04767198267719,30.818232584763884,11.600939890232516,547.17685112,1.1081081081081081,1.8918918918918919,2.5945945945945947,0.5,-3.09,37.0,517.8290000000003,172011382.72288,26.95848386399922,11.530358938262177,6.621576373617242,223.51417659944033,13.173352056916826,0.34858240357739617,13.173352056916826,0.3143445519455136,0.038582191434373136,0.3143445519455136,-0.8860103136145152,-0.34858240357739617,1.2896000000000014,139.24859999999995,548.0690000000001,3.0,11.0,1.0,1.0,2.0,0.0,2.0,2.0,8.0,3.0,13.0,0.0,5.0,1.0,0.0,1.0,198.0,25.750185273719946,5.817862777835028,5.007623696852765,5.907179729351506,5.907179729351506,11.814359458703011,19.178148736287287,9.967957041894417,0.0,11.336785877934737,11.600939890232516,38.44287098837844,56.63941604072926,16.758402137737747,4.0,19.178148736287287,52.384307463408305,0.0,30.40135371160803,5.917906046161393,44.311724555912534,33.004560957950474,38.930909907680146,0.0,0.0,15.950365812018994,5.817862777835028,0.0,22.937725768167255,83.16794943324146,27.34918958105405,5.917906046161393,39.63570093825238,18.3295777085363,5.022633313741326,0.0,0.0,136.63,0.0,7.171216632094474,64.26153886690894,8.905701257677167,0.9397120721172019,-2.2468397580025172,1.9462840881794052,3.424517232177735,1.6347664596929385,5.407547593599103,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4796796282412841
Guanylcisteine,N=C(N)N[C@@H](CS)C(=O)O,0.25,3.833483296499401,149.4381300492217,8.146264369941973,5.164482801029578,6.058909992029494,4.574586062669973,2.5182324032470507,3.150687935280726,1.6314104134774101,1.9965587851475208,0.8104028728682913,1.175551244538402,0.37318147879586144,0.6206538290561547,12.011146117099809,4.794537184071822,0.0,11.712408175490623,0.0,0.0,0.0,0.0,0.0,17.94557775201932,16.249478477794412,163.041547528,1.9,2.4,2.5,0.5,-0.9099999999999999,10.0,154.12999999999997,112.49251649732604,9.09,3.9944653617934134,3.182387456567439,63.52000376654642,10.202407407407408,0.479694583038411,10.202407407407408,0.32656365114588565,0.10606481481481467,0.32656365114588565,-1.0646296296296296,-0.479694583038411,-1.1475299999999995,40.326600000000006,163.202,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,6.0,0.0,3.0,0.0,0.0,0.0,58.0,16.156983476009223,6.041840829147961,5.959554568743835,0.0,0.0,5.969305287951849,5.409283605791522,4.794537184071822,12.628789148012991,0.0,0.0,0.0,5.752853606746789,0.0,0.0,9.901064578912528,24.557649004708672,5.409283605791522,5.316788604006331,5.733667477162185,6.041840829147961,5.752853606746789,0.0,0.0,0.0,11.050456081168516,0.0,0.0,12.628789148012991,28.83008168743114,4.794537184071822,5.409283605791522,0.0,0.0,0.0,0.0,0.0,99.2,0.0,3.734027777777778,10.202407407407408,17.26341049382716,4.881604938271605,-1.318333333333333,-0.8742283950617289,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2060081971755789
Glibornuride,Cc1ccc(S(=O)(=O)NC(=O)N[C@H]2[C@H]3CC[C@@](C)([C@H]2O)C3(C)C)cc1,0.27,1.724067215524806,787.7990216714352,18.620955864630133,15.035872204055888,15.852368784983614,11.487835982917437,8.569765615330452,10.052928862924846,8.146956811917185,9.829359053326701,6.656165083986017,8.003057196049127,4.59446349891217,5.509700361458899,28.20021288264192,18.318861563241462,0.0,21.643370460472728,0.0,18.405094737549014,12.13273413692322,12.13273413692322,18.569569263833337,19.16426300338758,0.0,366.16132831199997,1.2,1.8,2.32,0.6111111111111112,-1.6,25.0,340.2750000000001,290834.2188045286,18.198871597743196,5.706158775364898,2.7332707825107896,148.61530229706872,12.324984567901236,0.3903850186857036,12.324984567901236,0.3285116806158559,0.03614145040732364,0.3285116806158559,-3.9360456821617533,-0.3903850186857036,2.16852,94.43900000000004,366.4830000000001,3.0,6.0,2.0,0.0,2.0,1.0,0.0,1.0,4.0,3.0,7.0,0.0,3.0,2.0,0.0,2.0,138.0,10.423315998847038,0.0,0.0,0.0,10.023291153407584,6.031114512338072,0.0,17.934429032852847,0.0,0.0,38.46739722769209,43.231011098024034,5.41499046939678,17.041290692414037,3.0,18.318861563241462,16.054405665745655,0.0,10.038883468458419,16.747886984954953,57.577882737028546,0.0,29.828919765543436,0.0,0.0,10.038883468458419,4.794537184071822,0.0,0.0,31.70124610840398,10.023291153407584,23.671624184645577,39.17630633662088,29.160951749364216,0.0,0.0,0.0,95.5,26.6998510330058,0.0,12.315804936172,13.375768659200748,0.5509474438433675,0.12530458505205933,5.034332794463567,1.1368947471814919,8.113808149909392,-3.9360456821617533,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7638586024536906
